Title,Unnamed: 3,Year,Rating,IMDB Score,Reelgood Rating Score,Available On,Unnamed: 9
Breeders,TV,2020,18+,7.3/10,73/100,+ Rent or Buy,No Free Episodes
Messiah,TV,2020,18+,7.6/10,73/100,,No Free Episodes
Kim's Convenience,TV,2016,16+,8.2/10,73/100,+ Rent or Buy,No Free Episodes
The Staircase,TV,2005,16+,7.9/10,73/100,,No Free Episodes
Legend of the Seeker,TV,2008,16+,7.6/10,73/100,+ Rent or Buy,44 Free Episodes
SEAL Team,TV,2017,16+,7.6/10,73/100,+ Rent or Buy,5 Free Episodes
Alone,TV,2015,16+,8.4/10,73/100,+ Rent or Buy,78 Free Episodes
It's a Sin,TV,2021,,8.8/10,73/100,,No Free Episodes
Caprica,TV,2010,16+,7.1/10,73/100,+ Rent or Buy,17 Free Episodes
Survivor,TV,2000,7+,7.2/10,73/100,+ Rent or Buy,No Free Episodes
Evil Genius,TV,2018,18+,7.5/10,73/100,,No Free Episodes
Resurrection: Ertugrul,TV,2014,16+,8.0/10,73/100,,No Free Episodes
Project Blue Book,TV,2019,16+,7.7/10,73/100,+ Rent or Buy,20 Free Episodes
The Mindy Project,TV,2012,7+,7.4/10,73/100,+ Rent or Buy,No Free Episodes
Patrick Melrose,TV,2018,18+,8.1/10,73/100,+ Rent or Buy,No Free Episodes
Veneno,TV,2020,18+,8.6/10,73/100,,No Free Episodes
Marianne,TV,2019,18+,7.5/10,73/100,,No Free Episodes
Ghosts,TV,2019,,8.1/10,73/100,,No Free Episodes
Gilligan's Island,TV,1964,all,7.3/10,73/100,Rent or Buy,No Free Episodes
Studio 60 on the Sunset Strip,TV,2006,7+,8.2/10,73/100,Rent or Buy,No Free Episodes
The Seven Deadly Sins,TV,2014,16+,8.0/10,73/100,+ Rent or Buy,No Free Episodes
The Society,TV,2019,18+,7.1/10,73/100,,No Free Episodes
Tehran,TV,2020,18+,7.4/10,73/100,,No Free Episodes
Sanditon,TV,2019,16+,7.8/10,73/100,Rent or Buy,No Free Episodes
Mom,TV,2013,16+,7.2/10,73/100,+ Rent or Buy,5 Free Episodes
The Middle,TV,2009,7+,7.6/10,73/100,+ Rent or Buy,No Free Episodes
Manhunt,TV,2017,16+,8.1/10,73/100,+ Rent or Buy,No Free Episodes
Mrs. America,TV,2020,18+,7.9/10,73/100,+ Rent or Buy,No Free Episodes
Madam Secretary,TV,2014,16+,7.6/10,73/100,+ Rent or Buy,No Free Episodes
Wentworth,TV,2013,18+,8.6/10,73/100,+ Rent or Buy,No Free Episodes
Nurse Jackie,TV,2009,18+,7.7/10,73/100,Rent or Buy,No Free Episodes
Emma,TV,2009,7+,8.1/10,73/100,+ Rent or Buy,No Free Episodes
Mr. Show with Bob and David,TV,1995,18+,8.4/10,73/100,+ Rent or Buy,No Free Episodes
House of Lies,TV,2012,18+,7.4/10,73/100,+ Rent or Buy,No Free Episodes
DuckTales,TV,2017,7+,8.3/10,73/100,+ Rent or Buy,12 Free Episodes
Steven Universe,TV,2013,7+,8.2/10,73/100,+ Rent or Buy,No Free Episodes
The Underground Railroad,TV,2021,18+,7.1/10,73/100,,No Free Episodes
Marvel's Cloak & Dagger,TV,2018,16+,6.7/10,73/100,+ Rent or Buy,No Free Episodes
The Family Man,TV,2019,16+,8.6/10,73/100,,No Free Episodes
Catch-22,TV,2019,18+,7.8/10,73/100,Rent or Buy,No Free Episodes
Graceland,TV,2013,16+,7.7/10,73/100,+ Rent or Buy,38 Free Episodes
Kidding,TV,2018,18+,8.0/10,73/100,+ Rent or Buy,10 Free Episodes
Hollywood,TV,2020,18+,7.5/10,73/100,,No Free Episodes
JoJo's Bizarre Adventure,TV,2012,18+,8.4/10,73/100,+ Rent or Buy,154 Free Episodes
Five Came Back,TV,2017,16+,8.3/10,73/100,,No Free Episodes
Home Before Dark,TV,2020,16+,7.5/10,73/100,,No Free Episodes
The Hour,TV,2011,16+,8.0/10,73/100,+ Rent or Buy,12 Free Episodes
Better Than Us,TV,2018,,7.4/10,73/100,,No Free Episodes
Everwood,TV,2002,7+,7.4/10,73/100,+ Rent or Buy,No Free Episodes
Documentary Now!,TV,2015,18+,8.1/10,73/100,+ Rent or Buy,No Free Episodes
Tell Me Your Secrets,TV,2021,18+,7.5/10,73/100,,No Free Episodes
Pretend It's a City,TV,2021,16+,8.1/10,73/100,,No Free Episodes
RuPaul's Drag Race All Stars,TV,2012,16+,8.5/10,73/100,+ Rent or Buy,No Free Episodes
Jonathan Strange & Mr Norrell,TV,2015,16+,8.1/10,73/100,+ Rent or Buy,No Free Episodes
Robot Chicken,TV,2005,18+,7.7/10,73/100,+ Rent or Buy,6 Free Episodes
Living with Yourself,TV,2019,18+,7.2/10,73/100,,No Free Episodes
Everything's Gonna Be Okay,TV,2020,16+,7.3/10,73/100,,No Free Episodes
Quantico,TV,2015,16+,6.7/10,73/100,+ Rent or Buy,No Free Episodes
Law & Order,TV,1990,16+,7.7/10,73/100,+ Rent or Buy,No Free Episodes
Midsomer Murders,TV,1997,7+,7.7/10,73/100,+ Rent or Buy,123 Free Episodes
Dirty John,TV,2018,18+,7.2/10,73/100,,No Free Episodes
Cougar Town,TV,2009,7+,7.0/10,73/100,+ Rent or Buy,No Free Episodes
One Tree Hill,TV,2003,16+,7.7/10,73/100,+ Rent or Buy,No Free Episodes
Fairy Tail,TV,2009,16+,8.0/10,73/100,+ Rent or Buy,332 Free Episodes
High Maintenance,TV,2016,18+,8.1/10,73/100,+ Rent or Buy,No Free Episodes
The Wilds,TV,2020,16+,7.3/10,73/100,,No Free Episodes
Boy Meets World,TV,1993,all,8.0/10,73/100,+ Rent or Buy,No Free Episodes
Fortitude,TV,2015,18+,7.4/10,73/100,+ Rent or Buy,No Free Episodes
Red Oaks,TV,2014,18+,7.9/10,73/100,,No Free Episodes
Roots,TV,1977,7+,8.4/10,72/100,+ Rent or Buy,No Free Episodes
ER,TV,1994,16+,7.7/10,72/100,+ Rent or Buy,No Free Episodes
The Golden Girls,TV,1985,7+,7.9/10,72/100,+ Rent or Buy,No Free Episodes
Roseanne,TV,1988,7+,7.0/10,72/100,+ Rent or Buy,229 Free Episodes
Shooter,TV,2016,16+,7.5/10,72/100,+ Rent or Buy,No Free Episodes
The Wonder Years,TV,1988,7+,8.3/10,72/100,,No Free Episodes
The White Queen,TV,2013,16+,7.8/10,72/100,+ Rent or Buy,No Free Episodes
How To with John Wilson,TV,2020,18+,8.7/10,72/100,,No Free Episodes
Conversations with a Killer: The Ted Bundy Tapes,TV,2019,18+,7.8/10,72/100,,8 Free Episodes
Feel Good,TV,2020,,7.5/10,72/100,,No Free Episodes
Defiance,TV,2013,18+,7.0/10,72/100,Rent or Buy,No Free Episodes
United States of Tara,TV,2009,18+,7.9/10,72/100,+ Rent or Buy,No Free Episodes
Blindspot,TV,2015,16+,7.4/10,72/100,+ Rent or Buy,2 Free Episodes
Afro Samurai,TV,2007,18+,7.7/10,72/100,+ Rent or Buy,5 Free Episodes
Black Lightning,TV,2018,16+,6.1/10,72/100,+ Rent or Buy,16 Free Episodes
Solar Opposites,TV,2020,18+,8.0/10,72/100,+ Rent or Buy,No Free Episodes
Mortal Kombat: Legacy,TV,2011,18+,7.4/10,72/100,+ Rent or Buy,No Free Episodes
The Looming Tower,TV,2018,18+,8.0/10,72/100,+ Rent or Buy,No Free Episodes
Salem,TV,2014,18+,7.2/10,72/100,+ Rent or Buy,No Free Episodes
Stumptown,TV,2019,16+,7.5/10,72/100,+ Rent or Buy,No Free Episodes
Another,TV,2012,18+,7.6/10,72/100,+ Rent or Buy,12 Free Episodes
A.P. Bio,TV,2018,16+,7.3/10,72/100,+ Rent or Buy,27 Free Episodes
Last Tango in Halifax,TV,2012,16+,8.3/10,72/100,+ Rent or Buy,No Free Episodes
Middleditch & Schwartz,TV,2020,18+,8.7/10,72/100,,No Free Episodes
Bunheads,TV,2012,16+,7.6/10,72/100,+ Rent or Buy,18 Free Episodes
Frequency,TV,2016,7+,7.5/10,72/100,+ Rent or Buy,No Free Episodes
Young Rock,TV,2021,16+,6.9/10,72/100,+ Rent or Buy,11 Free Episodes
Code Geass: Lelouch of the Rebellion,TV,2006,18+,8.7/10,72/100,+ Rent or Buy,No Free Episodes
Horace and Pete,TV,2016,18+,8.5/10,72/100,,No Free Episodes
Strike Back,TV,2010,18+,8.2/10,72/100,+ Rent or Buy,No Free Episodes
Whitechapel,TV,2009,7+,7.9/10,72/100,+ Rent or Buy,6 Free Episodes
The Tunnel,TV,2013,18+,7.9/10,72/100,+ Rent or Buy,No Free Episodes
The Good Lord Bird,TV,2020,18+,7.6/10,72/100,+ Rent or Buy,1 Free Episodes
Bored to Death,TV,2009,18+,7.9/10,72/100,+ Rent or Buy,No Free Episodes
Unforgotten,TV,2018,18+,8.3/10,72/100,+ Rent or Buy,No Free Episodes
Marcella,TV,2016,18+,7.4/10,72/100,+ Rent or Buy,No Free Episodes
The Capture,TV,2019,18+,7.8/10,72/100,Rent or Buy,No Free Episodes
The Amazing World of Gumball,TV,2011,7+,8.2/10,72/100,+ Rent or Buy,No Free Episodes
Limitless,TV,2015,16+,7.7/10,72/100,+ Rent or Buy,22 Free Episodes
Legendary,TV,2020,16+,7.7/10,72/100,,No Free Episodes
Witches of East End,TV,2013,16+,7.6/10,72/100,+ Rent or Buy,No Free Episodes
The Musketeers,TV,2014,16+,7.8/10,72/100,+ Rent or Buy,10 Free Episodes
Your Lie in April,TV,2014,7+,8.6/10,72/100,,22 Free Episodes
I'll Be Gone in the Dark,TV,2020,18+,7.4/10,72/100,+ Rent or Buy,No Free Episodes
Carnivàle,TV,2003,18+,8.4/10,72/100,+ Rent or Buy,No Free Episodes
Mirzapur,TV,2018,18+,8.4/10,72/100,,No Free Episodes
Space Force,TV,2020,18+,6.7/10,72/100,,No Free Episodes
Victoria,TV,2016,16+,8.2/10,72/100,+ Rent or Buy,No Free Episodes
Food Wars! Shokugeki no Soma,TV,2015,18+,8.2/10,72/100,+ Rent or Buy,74 Free Episodes
Underground,TV,2016,18+,7.8/10,72/100,+ Rent or Buy,No Free Episodes
Babylon 5,TV,1994,7+,8.3/10,72/100,+ Rent or Buy,No Free Episodes
Lois & Clark: The New Adventures of Superman,TV,1993,7+,6.7/10,72/100,+ Rent or Buy,No Free Episodes
S.W.A.T.,TV,2017,16+,7.0/10,72/100,+ Rent or Buy,5 Free Episodes
Fate: The Winx Saga,TV,2021,18+,6.9/10,72/100,,No Free Episodes
Agatha Christie's Poirot,TV,1990,7+,8.6/10,72/100,+ Rent or Buy,No Free Episodes
Doctor Foster,TV,2015,16+,7.7/10,72/100,+ Rent or Buy,No Free Episodes
Everything Sucks!,TV,2018,16+,7.5/10,72/100,,No Free Episodes
Good Behavior,TV,2016,18+,8.1/10,72/100,+ Rent or Buy,No Free Episodes
Waco,TV,2018,18+,7.9/10,72/100,Rent or Buy,No Free Episodes
Dracula,TV,2020,18+,6.8/10,72/100,+ Rent or Buy,No Free Episodes
Revolution,TV,2012,16+,6.7/10,72/100,Rent or Buy,No Free Episodes
Utopia,TV,2013,18+,8.4/10,72/100,Rent or Buy,No Free Episodes
3rd Rock from the Sun,TV,1996,7+,7.7/10,72/100,+ Rent or Buy,139 Free Episodes
Boss,TV,2011,18+,8.1/10,72/100,+ Rent or Buy,No Free Episodes
Hunters,TV,2020,18+,7.2/10,72/100,,No Free Episodes
Bluey,TV,2018,all,9.7/10,72/100,+ Rent or Buy,12 Free Episodes
Helix,TV,2014,18+,6.8/10,72/100,+ Rent or Buy,26 Free Episodes
Last Chance U,TV,2016,16+,8.4/10,72/100,,No Free Episodes
The Daily Show with Trevor Noah,TV,1996,16+,8.3/10,72/100,+ Rent or Buy,19 Free Episodes
Harper's Island,TV,2009,16+,7.5/10,72/100,+ Rent or Buy,13 Free Episodes
The Secret Circle,TV,2011,16+,7.3/10,72/100,,22 Free Episodes
Harlots,TV,2017,18+,7.7/10,72/100,Rent or Buy,No Free Episodes
The Mechanism,TV,2018,18+,8.4/10,72/100,,No Free Episodes
Night Stalker: The Hunt For a Serial Killer,TV,2021,18+,7.5/10,72/100,,No Free Episodes
Suburgatory,TV,2011,7+,7.2/10,72/100,+ Rent or Buy,57 Free Episodes
Abstract: The Art of Design,TV,2017,16+,8.4/10,72/100,,No Free Episodes
Hatfields & McCoys,TV,2012,16+,8.0/10,72/100,+ Rent or Buy,No Free Episodes
Parasyte -the maxim-,TV,2014,18+,8.3/10,72/100,+Rent or Buy,24 Free Episodes
Hacks,TV,2021,,8.0/10,72/100,,No Free Episodes
Hung,TV,2009,18+,7.1/10,72/100,+ Rent or Buy,No Free Episodes
Faking It,TV,2014,16+,7.4/10,72/100,Rent or Buy,No Free Episodes
Babylon Berlin,TV,2017,18+,8.4/10,72/100,,No Free Episodes
Dr. Stone,TV,2019,7+,8.2/10,72/100,+ Rent or Buy,24 Free Episodes
The Mosquito Coast,TV,2021,18+,7.5/10,72/100,,No Free Episodes
Krypton,TV,2018,16+,6.9/10,72/100,+ Rent or Buy,20 Free Episodes
People of Earth,TV,2016,18+,7.7/10,72/100,+ Rent or Buy,No Free Episodes
Salvation,TV,2017,16+,7.0/10,72/100,+ Rent or Buy,13 Free Episodes
Boruto: Naruto Next Generations,TV,2017,16+,7.0/10,72/100,+ Rent or Buy,154 Free Episodes
Blackadder,TV,1983,7+,8.0/10,71/100,+ Rent or Buy,No Free Episodes
Crash Landing on You,TV,2019,16+,8.7/10,71/100,,No Free Episodes
Terriers,TV,2010,18+,8.4/10,71/100,+ Rent or Buy,No Free Episodes
A Very English Scandal,TV,2018,16+,7.7/10,71/100,,No Free Episodes
Trailer Park Boys,TV,2001,18+,8.4/10,71/100,+ Rent or Buy,No Free Episodes
NCIS: Los Angeles,TV,2009,16+,6.7/10,71/100,+ Rent or Buy,5 Free Episodes
Justice League,TV,2001,7+,8.5/10,71/100,+ Rent or Buy,No Free Episodes
The King of Queens,TV,1998,7+,7.3/10,71/100,,No Free Episodes
Adventure Time: Distant Lands,TV,2020,7+,8.9/10,71/100,,No Free Episodes
A Million Little Things,TV,2018,16+,7.9/10,71/100,+ Rent or Buy,4 Free Episodes
Chicago Med,TV,2015,16+,7.6/10,71/100,+ Rent or Buy,118 Free Episodes
Philip K. Dick's Electric Dreams,TV,2017,18+,7.3/10,71/100,+ Rent or Buy,No Free Episodes
30 Coins,TV,2020,18+,7.2/10,71/100,,No Free Episodes
Show Me a Hero,TV,2015,18+,8.0/10,71/100,+ Rent or Buy,No Free Episodes
The Larry Sanders Show,TV,1992,18+,8.4/10,71/100,+ Rent or Buy,No Free Episodes
Big Shot,TV,2021,7+,7.4/10,71/100,,No Free Episodes
Undercover,TV,2011,7+,8.9/10,71/100,+ Rent or Buy,No Free Episodes
McMafia,TV,2018,16+,7.7/10,71/100,+ Rent or Buy,No Free Episodes
High Fidelity,TV,2020,18+,7.7/10,71/100,+ Rent or Buy,No Free Episodes
Truth Seekers,TV,2020,16+,7.1/10,71/100,,No Free Episodes
It's Okay to Not Be Okay,TV,2020,16+,8.8/10,71/100,,No Free Episodes
Kipo and the Age of Wonderbeasts,TV,2020,7+,8.4/10,71/100,,No Free Episodes
UnREAL,TV,2015,16+,7.8/10,71/100,+ Rent or Buy,3 Free Episodes
Seven Seconds,TV,2018,18+,7.7/10,71/100,,No Free Episodes
Ugly Betty,TV,2006,7+,6.5/10,71/100,+ Rent or Buy,85 Free Episodes
Torchwood,TV,2006,18+,7.7/10,71/100,+ Rent or Buy,No Free Episodes
BrainDead,TV,2016,16+,8.1/10,71/100,+ Rent or Buy,13 Free Episodes
Shameless,TV,2004,18+,8.0/10,71/100,+ Rent or Buy,153 Free Episodes
The Little Drummer Girl,TV,2018,18+,7.4/10,71/100,+ Rent or Buy,No Free Episodes
Spider-Man,TV,1994,all,8.4/10,71/100,+ Rent or Buy,No Free Episodes
Battlestar Galactica,TV,2003,16+,8.6/10,71/100,,2 Free Episodes
Rugrats,TV,1991,all,7.4/10,71/100,+ Rent or Buy,No Free Episodes
"Eerie, Indiana",TV,1991,7+,8.2/10,71/100,+ Rent or Buy,No Free Episodes
Motherland: Fort Salem,TV,2020,16+,7.2/10,71/100,,No Free Episodes
Delhi Crime,TV,2019,,8.5/10,71/100,,No Free Episodes
Review,TV,2014,16+,8.4/10,71/100,+ Rent or Buy,1 Free Episodes
Raising Dion,TV,2019,7+,7.2/10,71/100,,No Free Episodes
Lonesome Dove,TV,1989,7+,8.7/10,71/100,+ Rent or Buy,No Free Episodes
Miracle Workers,TV,2019,7+,7.0/10,71/100,+ Rent or Buy,No Free Episodes
RuPaul's Drag Race UK,TV,2019,16+,8.4/10,71/100,+ Rent or Buy,1 Free Episodes
Behind Her Eyes,TV,2021,18+,7.2/10,71/100,,No Free Episodes
Staged,TV,2020,,8.6/10,71/100,+ Rent or Buy,No Free Episodes
Firefly Lane,TV,2021,18+,7.5/10,71/100,,No Free Episodes
North & South,TV,2004,7+,8.6/10,71/100,+ Rent or Buy,No Free Episodes
Everybody Loves Raymond,TV,1996,7+,7.1/10,71/100,+ Rent or Buy,No Free Episodes
Secret City,TV,2016,18+,7.4/10,71/100,,1 Free Episodes
Bewitched,TV,1964,all,7.5/10,71/100,+ Rent or Buy,72 Free Episodes
Tom and Jerry,TV,1940,all,8.7/10,71/100,+ Rent or Buy,No Free Episodes
Phineas and Ferb,TV,2007,all,8.0/10,71/100,+ Rent or Buy,No Free Episodes
Murdoch Mysteries,TV,2008,7+,8.1/10,71/100,+ Rent or Buy,53 Free Episodes
Lenox Hill,TV,2020,,8.7/10,71/100,,No Free Episodes
Transparent,TV,2014,18+,7.7/10,71/100,+ Rent or Buy,No Free Episodes
The L Word,TV,2004,18+,7.6/10,71/100,+ Rent or Buy,No Free Episodes
Alfred Hitchcock Presents,TV,1955,16+,8.5/10,71/100,best+ Rent or Buy,254 Free Episodes
Frontier,TV,2016,18+,7.2/10,71/100,,No Free Episodes
Dynasty,TV,2017,16+,7.3/10,71/100,+ Rent or Buy,9 Free Episodes
Ascension,TV,2014,18+,7.2/10,71/100,+ Rent or Buy,1 Free Episodes
Halston,TV,2021,18+,7.6/10,71/100,,No Free Episodes
Dark Side of the Ring,TV,2019,16+,8.7/10,71/100,+ Rent or Buy,2 Free Episodes
Vinyl,TV,2016,18+,7.8/10,71/100,+ Rent or Buy,No Free Episodes
Channel Zero,TV,2016,16+,7.2/10,71/100,+ Rent or Buy,No Free Episodes
Red Dwarf,TV,1989,16+,8.4/10,71/100,+ Rent or Buy,No Free Episodes
Britannia,TV,2018,16+,6.8/10,71/100,,No Free Episodes
Vinland Saga,TV,2019,,8.8/10,71/100,,No Free Episodes
Ghost in the Shell: Stand Alone Complex,TV,2002,16+,8.5/10,71/100,+ Rent or Buy,62 Free Episodes
Outcast,TV,2016,18+,7.4/10,71/100,+ Rent or Buy,No Free Episodes
Awake,TV,2012,16+,7.9/10,71/100,Rent or Buy,No Free Episodes
Baskets,TV,2016,18+,7.6/10,71/100,+ Rent or Buy,No Free Episodes
FEUD,TV,2017,18+,8.5/10,71/100,Rent or Buy,No Free Episodes
Chewing Gum,TV,2015,16+,7.7/10,71/100,,No Free Episodes
Battlestar Galactica,TV,1978,7+,7.2/10,71/100,+ Rent or Buy,21 Free Episodes
Lodge 49,TV,2018,16+,7.7/10,71/100,+ Rent or Buy,No Free Episodes
Man Seeking Woman,TV,2015,18+,7.8/10,71/100,+ Rent or Buy,No Free Episodes
Cheer,TV,2020,16+,8.1/10,71/100,,No Free Episodes
3%,TV,2016,18+,7.4/10,71/100,,No Free Episodes
Dominion,TV,2014,18+,6.8/10,71/100,+ Rent or Buy,21 Free Episodes
Will & Grace,TV,1998,16+,7.2/10,71/100,+ Rent or Buy,10 Free Episodes
Generation War,TV,2013,18+,8.5/10,71/100,+ Rent or Buy,3 Free Episodes
Erased,TV,2017,16+,7.9/10,70/100,,No Free Episodes
The White Princess,TV,2017,18+,7.6/10,70/100,+ Rent or Buy,No Free Episodes
Derek,TV,2013,7+,8.0/10,70/100,,No Free Episodes
Ratched,TV,2020,18+,7.3/10,70/100,,No Free Episodes
The Challenge,TV,1998,16+,7.6/10,70/100,+ Rent or Buy,3 Free Episodes
High School DxD,TV,2012,18+,7.6/10,70/100,+ Rent or Buy,No Free Episodes
Teenage Mutant Ninja Turtles,TV,1987,7+,7.9/10,70/100,Rent or Buy,No Free Episodes
GHOUL,TV,2018,18+,7.1/10,70/100,,No Free Episodes
Terra Nova,TV,2011,16+,6.8/10,70/100,Rent or Buy,No Free Episodes
All Creatures Great and Small,TV,2020,7+,8.4/10,70/100,Rent or Buy,No Free Episodes
Big Love,TV,2006,18+,7.6/10,70/100,+ Rent or Buy,No Free Episodes
Doc Martin,TV,2004,7+,8.3/10,70/100,+ Rent or Buy,47 Free Episodes
Jackie Chan Adventures,TV,2000,7+,7.4/10,70/100,+ Rent or Buy,52 Free Episodes
The Carrie Diaries,TV,2013,16+,7.0/10,70/100,+ Rent or Buy,26 Free Episodes
Hell's Kitchen,TV,2005,16+,7.1/10,70/100,+ Rent or Buy,309 Free Episodes
Anthony Bourdain: Parts Unknown,TV,2013,7+,8.8/10,70/100,+ Rent or Buy,No Free Episodes
Touch,TV,2012,7+,7.3/10,70/100,+ Rent or Buy,No Free Episodes
Kyle XY,TV,2006,7+,7.4/10,70/100,Rent or Buy,No Free Episodes
Courage the Cowardly Dog,TV,1999,7+,8.2/10,70/100,+ Rent or Buy,No Free Episodes
Get Shorty,TV,2017,18+,8.2/10,70/100,+ Rent or Buy,2 Free Episodes
NewsRadio,TV,1995,7+,7.9/10,70/100,+ Rent or Buy,30 Free Episodes
Dynasties,TV,2018,7+,9.1/10,70/100,+ Rent or Buy,No Free Episodes
Zoo,TV,2015,16+,6.8/10,70/100,+ Rent or Buy,No Free Episodes
Long Way Up,TV,2020,16+,8.3/10,70/100,,No Free Episodes
QI,TV,2003,16+,8.6/10,70/100,,66 Free Episodes
Bonding,TV,2019,18+,7.2/10,70/100,,No Free Episodes
The Other Two,TV,2019,18+,7.5/10,70/100,+ Rent or Buy,No Free Episodes
Dragon Ball Z Kai,TV,2009,16+,8.2/10,70/100,+ Rent or Buy,9 Free Episodes
King of the Hill,TV,1997,7+,7.3/10,70/100,+ Rent or Buy,No Free Episodes
Last Resort,TV,2012,16+,7.4/10,70/100,+ Rent or Buy,12 Free Episodes
Legit,TV,2013,18+,8.2/10,70/100,+ Rent or Buy,No Free Episodes
The Devil Next Door,TV,2019,18+,7.6/10,70/100,,No Free Episodes
The Dresden Files,TV,2007,7+,7.7/10,70/100,+ Rent or Buy,12 Free Episodes
Hemlock Grove,TV,2013,18+,7.1/10,70/100,+ Rent or Buy,No Free Episodes
The Great British Bake Off,TV,2010,7+,8.6/10,70/100,,No Free Episodes
The New Adventures of Old Christine,TV,2006,7+,7.1/10,70/100,+ Rent or Buy,No Free Episodes
Star Wars: Clone Wars,TV,2003,7+,7.8/10,70/100,,No Free Episodes
Olive Kitteridge,TV,2014,16+,8.3/10,70/100,+ Rent or Buy,No Free Episodes
Trust,TV,2018,18+,7.6/10,70/100,+ Rent or Buy,No Free Episodes
Brave New World,TV,2020,18+,7.1/10,70/100,,2 Free Episodes
Full House,TV,1987,all,6.7/10,70/100,+ Rent or Buy,No Free Episodes
Clarice,TV,2021,16+,6.4/10,70/100,+ Rent or Buy,9 Free Episodes
All in the Family,TV,1971,all,8.3/10,70/100,+ Rent or Buy,10 Free Episodes
Case Closed,TV,1996,16+,8.4/10,70/100,+ Rent or Buy,105 Free Episodes
V,TV,1983,16+,7.9/10,70/100,Rent or Buy,No Free Episodes
The Hollow Crown,TV,2012,,8.3/10,70/100,Rent or Buy,No Free Episodes
For Life,TV,2020,16+,7.6/10,70/100,+ Rent or Buy,5 Free Episodes
The Detour,TV,2016,18+,7.8/10,70/100,+ Rent or Buy,No Free Episodes
Flowers,TV,2016,,8.2/10,70/100,+ Rent or Buy,No Free Episodes
Who Is America?,TV,2018,18+,8.3/10,70/100,+ Rent or Buy,No Free Episodes
Paranormal,TV,2020,7+,8.5/10,70/100,,No Free Episodes
The Passage,TV,2019,16+,7.3/10,70/100,+ Rent or Buy,10 Free Episodes
"Scooby-Doo, Where Are You?",TV,1969,all,7.9/10,70/100,+ Rent or Buy,21 Free Episodes
Trial & Error,TV,2017,16+,8.0/10,70/100,+ Rent or Buy,4 Free Episodes
Impractical Jokers,TV,2011,16+,8.6/10,70/100,+ Rent or Buy,No Free Episodes
A Confession,TV,2019,,7.6/10,70/100,,No Free Episodes
The Split,TV,2018,18+,7.7/10,70/100,+ Rent or Buy,No Free Episodes
Blue Mountain State,TV,2010,18+,8.3/10,70/100,Rent or Buy,No Free Episodes
Rascal Does Not Dream of Bunny Girl Senpai,TV,2018,16+,8.2/10,70/100,,13 Free Episodes
Selena + Chef,TV,2020,7+,8.1/10,70/100,,No Free Episodes
"Midnight, Texas",TV,2017,16+,7.4/10,70/100,+ Rent or Buy,19 Free Episodes
Reaper,TV,2007,16+,7.7/10,70/100,+ Rent or Buy,31 Free Episodes
InuYasha,TV,2000,16+,7.9/10,70/100,+ Rent or Buy,54 Free Episodes
Sanctuary,TV,2008,7+,7.3/10,70/100,+ Rent or Buy,No Free Episodes
The Politician,TV,2019,16+,7.5/10,70/100,+ Rent or Buy,No Free Episodes
Queer As Folk,TV,2000,18+,8.3/10,70/100,+ Rent or Buy,No Free Episodes
Finding Carter,TV,2014,16+,7.5/10,70/100,Rent or Buy,No Free Episodes
Alphas,TV,2011,16+,7.2/10,70/100,Rent or Buy,No Free Episodes
The Tomorrow People,TV,2013,16+,7.2/10,70/100,+ Rent or Buy,22 Free Episodes
"Magnum, P.I.",TV,1980,7+,7.5/10,70/100,+ Rent or Buy,No Free Episodes
Medici: Masters of Florence,TV,2016,7+,7.9/10,70/100,,No Free Episodes
Golden Time,TV,2013,16+,7.6/10,70/100,,24 Free Episodes
Three Girls,TV,2017,16+,8.2/10,70/100,+ Rent or Buy,No Free Episodes
Chance,TV,2016,18+,7.7/10,70/100,+ Rent or Buy,No Free Episodes
ALF,TV,1986,all,7.4/10,70/100,+ Rent or Buy,104 Free Episodes
Flashpoint,TV,2008,16+,7.7/10,70/100,+ Rent or Buy,22 Free Episodes
Black Dynamite,TV,2011,18+,8.1/10,70/100,+ Rent or Buy,5 Free Episodes
Easy,TV,2016,18+,6.9/10,70/100,,No Free Episodes
Political Animals,TV,2012,7+,7.7/10,70/100,Rent or Buy,No Free Episodes
Kaguya-sama: Love is War,TV,2019,16+,8.4/10,70/100,,12 Free Episodes
Black Monday,TV,2019,18+,7.5/10,70/100,+ Rent or Buy,2 Free Episodes
The Confession Killer,TV,2019,16+,7.4/10,70/100,,No Free Episodes
Men in Kilts: A Roadtrip with Sam and Graham,TV,2021,7+,8.8/10,70/100,,No Free Episodes
Smash,TV,2012,16+,7.7/10,70/100,+ Rent or Buy,32 Free Episodes
Human Target,TV,2010,16+,7.7/10,70/100,+ Rent or Buy,No Free Episodes
The Planets,TV,2019,all,9.1/10,70/100,,No Free Episodes
DuckTales,TV,1987,7+,8.1/10,70/100,+ Rent or Buy,No Free Episodes
Glitch,TV,2015,16+,7.3/10,70/100,+ Rent or Buy,No Free Episodes
Shetland,TV,2013,16+,8.1/10,70/100,+ Rent or Buy,No Free Episodes
Aggretsuko,TV,2018,16+,8.1/10,70/100,,No Free Episodes
Rurouni Kenshin,TV,1996,16+,8.5/10,70/100,,No Free Episodes
Detectorists,TV,2014,16+,8.6/10,70/100,+ Rent or Buy,20 Free Episodes
Freakazoid!,TV,1995,all,7.5/10,69/100,Rent or Buy,No Free Episodes
When Calls the Heart,TV,2014,all,8.1/10,69/100,+ Rent or Buy,No Free Episodes
