Title,Unnamed: 3,Year,Rating,IMDB Score,Reelgood Rating Score,Available On,Unnamed: 9
Cobra Kai,TV,2018,16+,8.6/10,88/100,+ Rent or Buy,3 Free Episodes
This Is Us,TV,2016,16+,8.7/10,88/100,+ Rent or Buy,15 Free Episodes
Arrested Development,TV,2003,16+,8.7/10,88/100,+ Rent or Buy,No Free Episodes
Sons of Anarchy,TV,2008,18+,8.5/10,88/100,+ Rent or Buy,No Free Episodes
Gravity Falls,TV,2012,7+,8.9/10,88/100,+ Rent or Buy,2 Free Episodes
Futurama,TV,1999,16+,8.4/10,88/100,+ Rent or Buy,No Free Episodes
Fleabag,TV,2016,18+,8.7/10,88/100,+ Rent or Buy,No Free Episodes
House of Cards,TV,2013,18+,8.7/10,88/100,+ Rent or Buy,No Free Episodes
Justified,TV,2010,18+,8.6/10,88/100,+ Rent or Buy,No Free Episodes
Fringe,TV,2008,16+,8.4/10,88/100,+ Rent or Buy,100 Free Episodes
Last Week Tonight with John Oliver,TV,2014,18+,8.9/10,87/100,+ Rent or Buy,No Free Episodes
Freaks and Geeks,TV,1999,16+,8.8/10,87/100,,No Free Episodes
The Good Place,TV,2016,16+,8.2/10,87/100,+ Rent or Buy,No Free Episodes
The Vampire Diaries,TV,2009,16+,7.7/10,87/100,guid+ Rent or Buy,1 Free Episodes
The Americans,TV,2013,18+,8.4/10,87/100,+ Rent or Buy,No Free Episodes
The Umbrella Academy,TV,2019,16+,8.0/10,87/100,,No Free Episodes
Adventure Time,TV,2010,7+,8.6/10,87/100,+ Rent or Buy,1 Free Episodes
The X-Files,TV,1993,18+,8.6/10,87/100,+ Rent or Buy,No Free Episodes
Pose,TV,2018,16+,8.6/10,87/100,+ Rent or Buy,No Free Episodes
The Last Dance,TV,2020,16+,9.1/10,87/100,,No Free Episodes
Big Little Lies,TV,2017,18+,8.5/10,87/100,+ Rent or Buy,No Free Episodes
Orange Is the New Black,TV,2013,18+,8.0/10,86/100,+ Rent or Buy,No Free Episodes
Buffy the Vampire Slayer,TV,1997,16+,8.2/10,86/100,+ Rent or Buy,No Free Episodes
Billions,TV,2016,18+,8.4/10,86/100,+ Rent or Buy,1 Free Episodes
When They See Us,TV,2019,18+,8.9/10,86/100,,No Free Episodes
Silicon Valley,TV,2014,18+,8.5/10,86/100,+ Rent or Buy,No Free Episodes
The 100,TV,2014,16+,7.6/10,86/100,+ Rent or Buy,No Free Episodes
Scrubs,TV,2001,16+,8.3/10,86/100,+ Rent or Buy,No Free Episodes
BoJack Horseman,TV,2014,18+,8.7/10,86/100,,No Free Episodes
Luther,TV,2010,18+,8.5/10,86/100,+ Rent or Buy,No Free Episodes
Archer,TV,2009,18+,8.6/10,86/100,+ Rent or Buy,No Free Episodes
The IT Crowd,TV,2006,16+,8.5/10,86/100,+ Rent or Buy,1 Free Episodes
