Title,Year,Rating,IMDB Score,Reelgood Rating Score,Available On
The Draughtsman's Contract,1983,18+,7.3/10,75/100,+ Rent or Buy
3:10 to Yuma,2007,18+,7.7/10,75/100,+ Rent or Buy
Miles Davis: Birth of the Cool,2019,,7.4/10,75/100,+ Rent or Buy
In the Mood for Love,2000,7+,8.1/10,75/100,
Remember the Titans,2000,7+,7.8/10,75/100,+ Rent or Buy
Salem's Lot,1979,7+,6.8/10,75/100,Rent or Buy
The Ring,2002,13+,7.1/10,75/100,+ Rent or Buy
The Da Vinci Code,2006,13+,6.6/10,75/100,+ Rent or Buy
The Croods,2013,7+,7.2/10,75/100,+ Rent or Buy
From Dusk Till Dawn,1996,18+,7.2/10,75/100,+ Rent or Buy
Quincy,2018,18+,7.6/10,75/100,
The American Meme,2018,,6.6/10,75/100,
Om Shanti Om,2007,7+,6.7/10,75/100,+ Rent or Buy
Gremlins,1984,7+,7.3/10,75/100,+ Rent or Buy
The Others,2001,13+,7.6/10,75/100,+ Rent or Buy
Tucker and Dale vs. Evil,2010,18+,7.5/10,75/100,monswarr+ Rent or Buy
Diva,1981,18+,7.2/10,75/100,Rent or Buy
The Master,2012,18+,7.2/10,75/100,+ Rent or Buy
Johnny Got His Gun,1971,7+,7.9/10,75/100,Rent or Buy
The Interview,1998,16+,7.1/10,75/100,Rent or Buy
Dan in Real Life,2007,7+,6.7/10,75/100,Rent or Buy
"Merry Christmas, Mr. Lawrence",1983,18+,7.3/10,75/100,
28 Weeks Later,2007,18+,7.0/10,75/100,+ Rent or Buy
The Last of the Mohicans,1992,18+,7.7/10,75/100,+ Rent or Buy
The Simpsons Movie,2007,13+,7.3/10,75/100,+ Rent or Buy
Halloween,1978,18+,7.7/10,75/100,+ Rent or Buy
Frozen II,2019,7+,6.8/10,75/100,+ Rent or Buy
Rocket Singh: Salesman of the Year,2009,13+,7.5/10,75/100,+ Rent or Buy
As It Is in Heaven,2004,,7.5/10,75/100,+ Rent or Buy
Top Gun,1986,13+,6.9/10,75/100,+ Rent or Buy
Snow White and the Seven Dwarfs,1938,all,7.6/10,75/100,+ Rent or Buy
Rush Hour,1998,13+,7.0/10,75/100,+ Rent or Buy
A Separation,2011,13+,8.3/10,75/100,Rent or Buy
The Maze Runner,2014,13+,6.8/10,75/100,Rent or Buy
Lincoln,2012,13+,7.3/10,75/100,+ Rent or Buy
Miracle in Cell No. 7,2019,16+,8.2/10,75/100,+ Rent or Buy
Dig!,2004,18+,7.8/10,75/100,Rent or Buy
Spectre,2015,13+,6.8/10,75/100,+ Rent or Buy
50 First Dates,2004,13+,6.8/10,75/100,+ Rent or Buy
For the Bible Tells Me So,2007,,7.8/10,75/100,+ Rent or Buy
Resident Evil,2002,18+,6.7/10,75/100,+ Rent or Buy
The Boy in the Striped Pyjamas,2008,13+,7.8/10,75/100,+ Rent or Buy
Game Night,2018,18+,6.9/10,75/100,+ Rent or Buy
Snowden,2016,18+,7.3/10,75/100,+ Rent or Buy
The Fly,1958,,7.1/10,75/100,Rent or Buy
Stargate,1994,13+,7.1/10,75/100,
"I, Robot",2004,13+,7.1/10,75/100,Rent or Buy
Miss Sloane,2016,18+,7.5/10,75/100,+ Rent or Buy
X-Men: The Last Stand,2006,13+,6.7/10,75/100,+ Rent or Buy
The Aviator,2004,13+,7.5/10,75/100,Rent or Buy
Fast & Furious Presents: Hobbs & Shaw,2019,13+,6.4/10,75/100,+ Rent or Buy
Changeling,2008,18+,7.7/10,75/100,+ Rent or Buy
My Neighbors the Yamadas,1999,7+,7.2/10,75/100,+ Rent or Buy
Coherence,2013,7+,7.2/10,75/100,+ Rent or Buy
Miss Granny,2014,13+,7.2/10,75/100,+ Rent or Buy
Insidious,2010,13+,6.8/10,75/100,+ Rent or Buy
East Is East,1999,18+,6.9/10,75/100,+ Rent or Buy
Crash,2005,18+,7.7/10,75/100,+ Rent or Buy
Star Wars: Episode II - Attack of the Clones,2002,7+,6.5/10,75/100,+ Rent or Buy
Magical Girl,2014,,7.3/10,75/100,+ Rent or Buy
House of Wax,1953,13+,7.1/10,75/100,Rent or Buy
Layer Cake,2004,18+,7.3/10,75/100,+ Rent or Buy
Sanjay's Super Team,2015,7+,6.9/10,75/100,+ Rent or Buy
Sherpa,2015,7+,7.6/10,75/100,Rent or Buy
Law Abiding Citizen,2009,18+,7.4/10,75/100,+ Rent or Buy
Live Free or Die Hard,2007,13+,7.1/10,75/100,+ Rent or Buy
A Silent Voice: The Movie,2016,13+,8.2/10,75/100,+ Rent or Buy
Master of the Flying Guillotine,1976,18+,7.5/10,75/100,+ Rent or Buy
Like Stars on Earth,2007,7+,8.4/10,75/100,
Kingsman: The Golden Circle,2017,18+,6.7/10,75/100,+ Rent or Buy
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,7+,6.9/10,75/100,+ Rent or Buy
The Bridge on the River Kwai,1957,7+,8.1/10,75/100,+ Rent or Buy
The Old Guard,2020,18+,6.7/10,75/100,
Enemy at the Gates,2001,18+,7.6/10,75/100,+ Rent or Buy
Up in the Air,2009,18+,7.4/10,75/100,+ Rent or Buy
Bharat Ane Nenu,2018,7+,7.7/10,75/100,
The Matrix Revolutions,2003,18+,6.7/10,75/100,+ Rent or Buy
All the President's Men,1976,7+,8.0/10,75/100,+ Rent or Buy
Creed II,2018,13+,7.1/10,75/100,+ Rent or Buy
Blade,1998,18+,7.1/10,75/100,+ Rent or Buy
Crazy Rich Asians,2018,13+,6.9/10,75/100,+ Rent or Buy
Before Sunset,2004,18+,8.1/10,75/100,+ Rent or Buy
Dawn of the Dead,2004,18+,7.3/10,75/100,Rent or Buy
My American Uncle,1980,7+,7.7/10,75/100,
School of Rock,2003,13+,7.1/10,75/100,Rent or Buy
What's Eating Gilbert Grape,1993,13+,7.7/10,75/100,+ Rent or Buy
The Tale of Zatoichi,1962,,7.6/10,75/100,+ Rent or Buy
Incendies,2010,18+,8.3/10,75/100,Rent or Buy
The Wind Will Carry Us,1999,,7.5/10,75/100,Rent or Buy
King Arthur: Legend of the Sword,2017,13+,6.7/10,75/100,+ Rent or Buy
The Founder,2017,13+,7.2/10,75/100,+ Rent or Buy
The Story of the Last Chrysanthemum,1939,,7.9/10,75/100,+ Rent or Buy
Hancock,2008,13+,6.4/10,75/100,+ Rent or Buy
Jean-Michel Basquiat: The Radiant Child,2010,,7.8/10,75/100,+ Rent or Buy
Suicide Squad,2016,13+,5.9/10,75/100,+ Rent or Buy
Summertime,1955,,7.2/10,75/100,+ Rent or Buy
The Apartment,1960,7+,8.3/10,75/100,Rent or Buy
The Emperor's New Groove,2000,all,7.4/10,75/100,+ Rent or Buy
La Terra Trema,1948,,7.9/10,75/100,+ Rent or Buy
We Need to Talk About Kevin,2011,18+,7.5/10,75/100,+ Rent or Buy
Lust for Life,1956,,7.4/10,75/100,Rent or Buy
Wolfwalkers,2020,7+,8.1/10,75/100,
A Woman Is a Woman,1961,,7.5/10,75/100,Rent or Buy
Furious 7,2015,13+,7.1/10,75/100,+ Rent or Buy
8 Women,2002,18+,7.1/10,75/100,Rent or Buy
The Mask,1994,13+,6.9/10,75/100,+ Rent or Buy
Justice League,2017,13+,6.2/10,75/100,+ Rent or Buy
King Kong,2005,13+,7.2/10,75/100,+ Rent or Buy
Bumblebee,2018,13+,6.8/10,75/100,+ Rent or Buy
Chef,2014,18+,7.3/10,75/100,+ Rent or Buy
Brazil,1985,18+,7.9/10,75/100,Rent or Buy
Nostalgia for the Light,2010,,7.6/10,75/100,+ Rent or Buy
Pirates of the Caribbean: Dead Men Tell No Tales,2017,13+,6.5/10,75/100,+ Rent or Buy
Tombstone,1993,18+,7.8/10,75/100,Rent or Buy
Dark Victory,1939,,7.5/10,75/100,Rent or Buy
Donnie Brasco,1997,18+,7.7/10,75/100,+ Rent or Buy
The Jungle Book,1967,all,7.6/10,75/100,+ Rent or Buy
The Naked Gun: From the Files of Police Squad!,1988,13+,7.6/10,75/100,+ Rent or Buy
Clerks,1994,18+,7.7/10,75/100,+ Rent or Buy
Jerry Before Seinfeld,2017,16+,7.0/10,75/100,
The Narrow Margin,1952,18+,7.7/10,75/100,Rent or Buy
Anna,2019,16+,6.6/10,75/100,Rent or Buy
Rio,2011,all,6.9/10,75/100,+ Rent or Buy
The Firemen's Ball,1967,,7.5/10,75/100,+ Rent or Buy
ZZ Top: That Little Ol' Band From Texas,2019,,7.5/10,75/100,+ Rent or Buy
Beverly Hills Cop,1984,18+,7.3/10,75/100,+ Rent or Buy
La Bête Humaine,1938,,7.6/10,75/100,+ Rent or Buy
Perfume: The Story of a Murderer,2006,18+,7.5/10,75/100,+ Rent or Buy
The Cincinnati Kid,1965,16+,7.3/10,75/100,Rent or Buy
Rango,2011,7+,7.2/10,75/100,+ Rent or Buy
The Adventures of Tintin,2011,7+,7.3/10,75/100,+ Rent or Buy
The Day After Tomorrow,2004,13+,6.4/10,75/100,+ Rent or Buy
Lucy,2014,18+,6.4/10,75/100,+ Rent or Buy
Written on the Wind,1956,,7.4/10,75/100,
Ben-Hur: A Tale of the Christ,1925,,7.8/10,75/100,Rent or Buy
The Treasure of the Sierra Madre,1948,,8.2/10,75/100,+ Rent or Buy
Never Cry Wolf,1983,7+,7.5/10,75/100,Rent or Buy
Lola,1961,13+,7.6/10,75/100,
Lawless,2012,18+,7.3/10,75/100,+ Rent or Buy
Black Is King,2020,16+,5.7/10,75/100,
The Fighter,2010,18+,7.8/10,75/100,Rent or Buy
This Sporting Life,1963,,7.6/10,75/100,+ Rent or Buy
Placido,1961,,7.9/10,75/100,
Bram Stoker's Dracula,1992,18+,7.4/10,75/100,+ Rent or Buy
The Fault in Our Stars,2014,13+,7.7/10,75/100,Rent or Buy
Night of the Living Dead,1968,18+,7.9/10,75/100,cont+ Rent or Buy
Detective Byomkesh Bakshy!,2015,18+,7.7/10,75/100,+ Rent or Buy
Ghostbusters,2016,13+,6.6/10,75/100,+ Rent or Buy
Paddington 2,2017,7+,7.8/10,75/100,+ Rent or Buy
Milk,2008,18+,7.5/10,75/100,+ Rent or Buy
Hercules,1997,all,7.3/10,75/100,+ Rent or Buy
A Fistful of Dollars,1964,18+,8.0/10,74/100,+ Rent or Buy
Hostel,2006,18+,5.9/10,74/100,+ Rent or Buy
The Last Wave,1977,7+,7.0/10,74/100,+ Rent or Buy
Carlito's Way,1993,18+,7.9/10,74/100,+ Rent or Buy
We're the Millers,2013,18+,7.0/10,74/100,Rent or Buy
Friends with Benefits,2011,18+,6.5/10,74/100,+ Rent or Buy
A History of Violence,2005,18+,7.4/10,74/100,+ Rent or Buy
Nausicaä of the Valley of the Wind,1984,7+,8.1/10,74/100,+ Rent or Buy
Yes Man,2008,13+,6.8/10,74/100,+ Rent or Buy
Southpaw,2015,18+,7.4/10,74/100,+ Rent or Buy
The Man from Earth,2007,13+,7.9/10,74/100,+ Rent or Buy
Two for the Road,1967,,7.5/10,74/100,Rent or Buy
Garden State,2004,18+,7.4/10,74/100,+ Rent or Buy
Death Proof,2007,18+,7.0/10,74/100,+ Rent or Buy
The Third Man,1949,,8.1/10,74/100,+ Rent or Buy
Ralph Breaks the Internet,2018,7+,7.0/10,74/100,+ Rent or Buy
Lilo & Stitch,2002,7+,7.2/10,74/100,+ Rent or Buy
Audrie & Daisy,2016,,7.2/10,74/100,
Searching,2018,13+,7.6/10,74/100,+ Rent or Buy
M,1931,13+,8.3/10,74/100,+ Rent or Buy
The Rock,1996,18+,7.4/10,74/100,Rent or Buy
Maleficent,2014,7+,7.0/10,74/100,+ Rent or Buy
Vanilla Sky,2001,18+,6.9/10,74/100,+ Rent or Buy
Brighton Rock,1948,,7.4/10,74/100,+ Rent or Buy
Network,1976,18+,8.1/10,74/100,+ Rent or Buy
The Royal Tenenbaums,2001,18+,7.6/10,74/100,Rent or Buy
Love and Monsters,2020,13+,7.0/10,74/100,Rent or Buy
Jumanji: The Next Level,2019,13+,6.6/10,74/100,+ Rent or Buy
Sweet Sixteen,2002,18+,7.4/10,74/100,Rent or Buy
In the Realm of the Senses,1976,18+,6.6/10,74/100,+ Rent or Buy
War for the Planet of the Apes,2017,13+,7.4/10,74/100,+ Rent or Buy
Gigi,1958,all,6.7/10,74/100,Rent or Buy
In the Shadow of the Moon,2019,18+,6.2/10,74/100,
The Man from U.N.C.L.E.,2015,13+,7.3/10,74/100,Rent or Buy
Cloverfield,2008,13+,7.0/10,74/100,+ Rent or Buy
Eastern Promises,2007,18+,7.6/10,74/100,+ Rent or Buy
Torment,1994,,7.1/10,74/100,
True Lies,1994,18+,7.2/10,74/100,
The Bells of St. Mary's,1945,,7.3/10,74/100,
Me Before You,2016,13+,7.4/10,74/100,Rent or Buy
Insomnia,2002,18+,7.2/10,74/100,+ Rent or Buy
Henry V,1944,,7.1/10,74/100,+ Rent or Buy
"Léon Morin, Priest",1961,,7.6/10,74/100,+ Rent or Buy
Booksmart,2019,18+,7.2/10,74/100,+ Rent or Buy
The Dance of Reality,2013,,7.5/10,74/100,+ Rent or Buy
Le Notti Bianche,1957,13+,7.8/10,74/100,+ Rent or Buy
Let the Fire Burn,2013,13+,7.8/10,74/100,
Upgrade,2018,18+,7.5/10,74/100,Rent or Buy
My Cousin Vinny,1992,18+,7.6/10,74/100,+ Rent or Buy
Phantom Thread,2017,18+,7.5/10,74/100,+ Rent or Buy
Stranger Than Fiction,2006,13+,7.5/10,74/100,+ Rent or Buy
Cashback,2006,18+,7.2/10,74/100,+ Rent or Buy
Enola Holmes,2020,13+,6.6/10,74/100,
Hero,2002,13+,7.9/10,74/100,+ Rent or Buy
Short Term 12,2013,18+,8.0/10,74/100,+ Rent or Buy
Pretty Woman,1990,18+,7.0/10,74/100,Rent or Buy
Helvetica,2007,,7.2/10,74/100,+ Rent or Buy
Oblivion,2013,13+,7.0/10,74/100,Rent or Buy
The Magnificent Seven,2016,13+,6.9/10,74/100,Rent or Buy
Goldfinger,1964,7+,7.7/10,74/100,+ Rent or Buy
The Incredible Hulk,2008,13+,6.7/10,74/100,Rent or Buy
Screwball,2019,,7.1/10,74/100,+ Rent or Buy
Troy,2004,18+,7.2/10,74/100,Rent or Buy
A Monster Calls,2016,13+,7.5/10,74/100,+ Rent or Buy
The Skin I Live In,2011,18+,7.6/10,74/100,+ Rent or Buy
Jerry Maguire,1996,18+,7.3/10,74/100,+ Rent or Buy
Adaptation.,2002,18+,7.7/10,74/100,+ Rent or Buy
As Good as It Gets,1997,13+,7.7/10,74/100,+ Rent or Buy
The French Connection,1971,18+,7.7/10,74/100,+ Rent or Buy
Ponyo,2008,all,7.7/10,74/100,+ Rent or Buy
"South Park: Bigger, Longer & Uncut",1999,18+,7.7/10,74/100,+ Rent or Buy
Over the Edge,1979,7+,7.4/10,74/100,Rent or Buy
Cold in July,2014,18+,6.8/10,74/100,Rent or Buy
All That Money Can Buy,1941,,7.6/10,74/100,+ Rent or Buy
Zero Motivation,2014,,7.3/10,74/100,+ Rent or Buy
A Man and a Woman,1966,,7.6/10,74/100,Rent or Buy
National Treasure,2004,7+,6.9/10,74/100,+ Rent or Buy
The Incredible Journey,1963,all,7.1/10,74/100,+ Rent or Buy
The Lost Boys,1987,18+,7.3/10,74/100,+ Rent or Buy
Don 2,2011,,7.1/10,74/100,
Stalker,1979,18+,8.1/10,74/100,+ Rent or Buy
That Hamilton Woman,1941,,7.2/10,74/100,
Marwencol,2010,,7.6/10,74/100,+ Rent or Buy
Walk the Line,2005,13+,7.8/10,74/100,+ Rent or Buy
Cowspiracy: The Sustainability Secret,2014,,8.2/10,74/100,+ Rent or Buy
Breakfast at Tiffany's,1961,all,7.6/10,74/100,Rent or Buy
Blue Velvet,1986,18+,7.7/10,74/100,+ Rent or Buy
A Time to Kill,1996,18+,7.5/10,74/100,+ Rent or Buy
Dirty Harry,1971,18+,7.7/10,74/100,+ Rent or Buy
The 40 Year Old Virgin,2005,18+,7.1/10,74/100,Rent or Buy
The Stoning of Soraya M.,2009,18+,8.0/10,74/100,Rent or Buy
Crime + Punishment,2018,,7.4/10,74/100,
The Hunger Games: Mockingjay - Part 2,2015,13+,6.6/10,74/100,+ Rent or Buy
Heneral Luna,2015,18+,7.5/10,74/100,
The Wrestler,2008,18+,7.9/10,74/100,Rent or Buy
A Summer's Tale,1996,all,7.6/10,74/100,Rent or Buy
Elite Squad,2007,18+,8.0/10,74/100,+ Rent or Buy
"The Long, Hot Summer",1958,,7.4/10,74/100,Rent or Buy
Philadelphia,1993,13+,7.7/10,74/100,+ Rent or Buy
Free Solo,2018,13+,8.2/10,74/100,+ Rent or Buy
Talaash,2012,,7.2/10,74/100,
Billy Liar,1963,,7.3/10,74/100,+ Rent or Buy
Teen Beach Movie,2013,7+,5.9/10,74/100,+ Rent or Buy
It Follows,2015,18+,6.8/10,74/100,+ Rent or Buy
Tarzan,1999,all,7.3/10,74/100,+ Rent or Buy
The Road,2009,18+,7.2/10,74/100,+ Rent or Buy
Sunshine,1999,18+,7.5/10,74/100,Rent or Buy
This Is Spinal Tap,1984,18+,7.9/10,74/100,+ Rent or Buy
State of Play,2009,13+,7.1/10,74/100,+ Rent or Buy
The Disaster Artist,2017,18+,7.4/10,74/100,+ Rent or Buy
All the Mornings of the World,1991,,7.5/10,74/100,+ Rent or Buy
How to Train Your Dragon: The Hidden World,2019,7+,7.5/10,74/100,+ Rent or Buy
The Color of Friendship,2000,7+,7.2/10,74/100,+ Rent or Buy
Us,2019,18+,6.8/10,74/100,Rent or Buy
The Bugs Bunny/Road Runner Movie,1979,all,7.3/10,74/100,Rent or Buy
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,18+,7.3/10,74/100,+ Rent or Buy
Anchorman: The Legend of Ron Burgundy,2004,13+,7.2/10,74/100,Rent or Buy
Red Dragon,2002,18+,7.2/10,74/100,+ Rent or Buy
Time After Time,1979,7+,7.1/10,74/100,Rent or Buy
Tokyo Olympiad,1965,,7.9/10,74/100,+ Rent or Buy
Miss Peregrine's Home for Peculiar Children,2016,13+,6.7/10,74/100,+ Rent or Buy
The Patriot,2000,18+,7.2/10,74/100,+ Rent or Buy
Last Night,1998,18+,7.2/10,74/100,Rent or Buy
Roman Holiday,1953,all,8.0/10,74/100,+ Rent or Buy
The More the Merrier,1943,,7.7/10,74/100,Rent or Buy
The Book of Eli,2010,18+,6.9/10,74/100,+ Rent or Buy
A Pure Formality,1994,13+,7.7/10,74/100,
Che: Part One,2008,18+,7.2/10,74/100,Rent or Buy
Zombieland: Double Tap,2019,18+,6.7/10,74/100,+ Rent or Buy
The Steel Helmet,1951,,7.4/10,74/100,+ Rent or Buy
The Crow,1994,18+,7.6/10,74/100,+ Rent or Buy
Kubo and the Two Strings,2016,7+,7.8/10,74/100,Rent or Buy
Coming to America,1988,18+,7.1/10,74/100,Rent or Buy
Lost in La Mancha,2002,18+,7.3/10,74/100,Rent or Buy
The Crucified Lovers,1954,,8.0/10,74/100,+ Rent or Buy
Jumanji,1995,7+,7.0/10,74/100,Rent or Buy
Piku,2015,13+,7.6/10,74/100,Rent or Buy
Starship Troopers,1997,18+,7.2/10,74/100,+ Rent or Buy
Batman: Gotham Knight,2008,13+,6.7/10,74/100,+ Rent or Buy
Fast & Furious,2009,13+,6.6/10,74/100,+ Rent or Buy
Madagascar,2005,7+,6.9/10,74/100,Rent or Buy
Manhattan,1979,18+,7.9/10,74/100,+ Rent or Buy
PK,2015,13+,8.1/10,74/100,
Jack Reacher,2012,13+,7.0/10,74/100,Rent or Buy
The Fly,1986,18+,7.6/10,74/100,+ Rent or Buy
The Man from Nowhere,2010,18+,7.8/10,74/100,hiya+ Rent or Buy
Before I Wake,2016,13+,6.2/10,74/100,+ Rent or Buy
The Beat That My Heart Skipped,2005,,7.3/10,74/100,Rent or Buy
For a Few Dollars More,1965,18+,8.2/10,74/100,+ Rent or Buy
Tokyo Drifter,1966,,7.2/10,74/100,+ Rent or Buy
Elena,2013,,7.6/10,74/100,
The Favourite,2018,16+,7.5/10,74/100,Rent or Buy
The Raid 2,2014,18+,8.0/10,74/100,+ Rent or Buy
Quantum of Solace,2008,13+,6.6/10,74/100,+ Rent or Buy
Fire in the Blood,2013,,7.7/10,74/100,
Double Indemnity,1944,,8.3/10,74/100,Rent or Buy
Ossessione,1943,16+,7.6/10,74/100,Rent or Buy
The World's End,2013,18+,7.0/10,74/100,+ Rent or Buy
Kikujiro,1999,13+,7.8/10,74/100,Rent or Buy
Corpse Bride,2005,7+,7.3/10,74/100,+ Rent or Buy
Dogville,2003,18+,8.0/10,74/100,+ Rent or Buy
The Jacket,2005,18+,7.1/10,74/100,Rent or Buy
The River,1951,,7.5/10,74/100,+ Rent or Buy
Togo,2019,7+,8.0/10,74/100,
The Mountain II,2016,all,8.7/10,74/100,+ Rent or Buy
The Big Parade,1925,,7.9/10,74/100,Rent or Buy
The Beaches of Agnès,2008,,8.0/10,74/100,
Home Alone 2: Lost in New York,1992,7+,6.8/10,74/100,+ Rent or Buy
High Society,1956,,7.0/10,74/100,Rent or Buy
Greenland,2020,13+,6.4/10,74/100,+ Rent or Buy
Hook,1991,7+,6.8/10,74/100,+ Rent or Buy
Pirates of the Caribbean: On Stranger Tides,2011,13+,6.6/10,74/100,+ Rent or Buy
Melancholia,2011,18+,7.2/10,74/100,+ Rent or Buy
Bleach,2018,13+,6.4/10,74/100,
The Darjeeling Limited,2007,18+,7.2/10,74/100,+ Rent or Buy
Battle Royale,2000,18+,7.6/10,74/100,+ Rent or Buy
Cube,1997,18+,7.2/10,74/100,+ Rent or Buy
Deep Water,2006,7+,7.8/10,74/100,Rent or Buy
That's Entertainment!,1974,all,7.8/10,74/100,Rent or Buy
The Runaways,2010,18+,6.5/10,74/100,+ Rent or Buy
Mission: Impossible III,2006,13+,6.9/10,74/100,+ Rent or Buy
Face/Off,1997,18+,7.2/10,74/100,Rent or Buy
"I Love You, Man",2009,18+,7.0/10,74/100,+ Rent or Buy
Sui Dhaaga - Made in India,2018,7+,6.8/10,74/100,+ Rent or Buy
Begin Again,2013,18+,7.4/10,74/100,+ Rent or Buy
Helter Skelter,1976,,7.4/10,74/100,Rent or Buy
The Loneliness of the Long Distance Runner,1962,,7.6/10,74/100,+ Rent or Buy
Close Encounters of the Third Kind,1977,7+,7.6/10,74/100,Rent or Buy
Grease,1978,7+,7.2/10,74/100,+ Rent or Buy
Kiki's Delivery Service,1989,all,7.8/10,74/100,+ Rent or Buy
Don't Breathe,2016,18+,7.1/10,74/100,+ Rent or Buy
Crossroads,1986,18+,7.1/10,74/100,Rent or Buy
Promises,2001,,8.4/10,74/100,Rent or Buy
Seven Psychopaths,2012,18+,7.2/10,74/100,+ Rent or Buy
Court,2015,,7.7/10,74/100,+ Rent or Buy
RED,2010,13+,7.0/10,74/100,indi+ Rent or Buy
Music Box,1989,13+,7.4/10,74/100,Rent or Buy
Errementari: The Blacksmith and the Devil,2018,18+,6.4/10,74/100,
Four Adventures of Reinette and Mirabelle,1987,,7.6/10,74/100,+ Rent or Buy
Compulsion,1959,18+,7.4/10,74/100,Rent or Buy
Sylvie's Love,2020,13+,6.8/10,74/100,
The End of Summer,1961,,7.8/10,74/100,
It's All Gone Pete Tong,2004,18+,7.3/10,74/100,Rent or Buy
End of Watch,2012,18+,7.6/10,74/100,+ Rent or Buy
Concert for George,2003,13+,8.6/10,74/100,Rent or Buy
Night Moves,1975,18+,7.1/10,74/100,Rent or Buy
Come and See,1985,,8.3/10,74/100,+ Rent or Buy
Lolita,1997,18+,6.9/10,74/100,+ Rent or Buy
Reel Injun,2010,18+,7.6/10,74/100,
Monster,2003,18+,7.3/10,74/100,+ Rent or Buy
Bachelor Mother,1939,,7.6/10,74/100,+ Rent or Buy
The Lego Batman Movie,2017,7+,7.3/10,74/100,+ Rent or Buy
Planet of the Apes,1968,all,8.0/10,74/100,+ Rent or Buy
Before Midnight,2013,18+,7.9/10,74/100,+ Rent or Buy
Hotel Transylvania,2012,7+,7.1/10,74/100,+ Rent or Buy
The Fearless Vampire Killers,1967,,7.2/10,74/100,Rent or Buy
Annihilation,2018,18+,6.8/10,74/100,Rent or Buy
Point Break,1991,18+,7.3/10,74/100,+ Rent or Buy
Cinderella,1950,all,7.3/10,74/100,+ Rent or Buy
Eyes Wide Shut,1999,18+,7.4/10,74/100,Rent or Buy
The Hunchback of Notre Dame,1939,,7.8/10,74/100,Rent or Buy
Napoleon Dynamite,2004,7+,6.9/10,74/100,+ Rent or Buy
Dirty Dancing,1987,13+,7.0/10,74/100,+ Rent or Buy
Logan Lucky,2017,13+,7.0/10,74/100,+ Rent or Buy
"Paris, Texas",1984,18+,8.1/10,74/100,+ Rent or Buy
Ben-Hur,1959,all,8.1/10,74/100,Rent or Buy
Mad Max 2,1981,18+,7.6/10,74/100,+ Rent or Buy
Saving Mr. Banks,2013,13+,7.5/10,74/100,+ Rent or Buy
Le Jour Se Lève,1939,,7.8/10,74/100,Rent or Buy
Sing,2016,7+,7.1/10,74/100,Rent or Buy
"Love, Rosie",2014,18+,7.2/10,74/100,+ Rent or Buy
Road to Perdition,2002,18+,7.7/10,74/100,+ Rent or Buy
Perfect Blue,1997,18+,8.0/10,74/100,+ Rent or Buy
Doctor Sleep,2019,18+,7.3/10,74/100,+ Rent or Buy
The Next Three Days,2010,13+,7.3/10,74/100,+ Rent or Buy
Spaceballs,1987,7+,7.1/10,74/100,+ Rent or Buy
Beyond the Hills,2012,,7.5/10,74/100,+ Rent or Buy
Lemon Tree,2008,,7.4/10,74/100,Rent or Buy
"Good Morning, Vietnam",1987,18+,7.3/10,74/100,+ Rent or Buy
Raees,2017,18+,6.8/10,74/100,+ Rent or Buy
Blazing Saddles,1974,18+,7.7/10,74/100,Rent or Buy
Julia's Eyes,2010,,6.7/10,74/100,Rent or Buy
Papillon,1973,7+,8.0/10,74/100,+ Rent or Buy
Footlight Parade,1933,all,7.6/10,74/100,Rent or Buy
Elf,2003,7+,7.0/10,74/100,+ Rent or Buy
Seven Pounds,2008,13+,7.6/10,74/100,+ Rent or Buy
Pink,2016,,8.1/10,74/100,
Burning,2018,,7.5/10,74/100,+ Rent or Buy
Early Spring,1956,,7.8/10,74/100,
Good Time,2017,18+,7.4/10,74/100,+ Rent or Buy
Armageddon,1998,13+,6.7/10,74/100,+ Rent or Buy
X-Men Origins: Wolverine,2009,13+,6.6/10,74/100,Rent or Buy
Leningrad Cowboys Go America,1989,13+,7.1/10,74/100,
The Color Purple,1985,7+,7.8/10,74/100,+ Rent or Buy
Ruggles of Red Gap,1935,,7.6/10,74/100,Rent or Buy
Boudu Saved from Drowning,1932,,7.4/10,74/100,
Dilwale Dulhania Le Jayenge,1995,all,8.1/10,74/100,+ Rent or Buy
Burn After Reading,2008,16+,7.0/10,74/100,+ Rent or Buy
Equilibrium,2002,18+,7.4/10,74/100,+ Rent or Buy
The Enforcer,1976,18+,6.7/10,74/100,Rent or Buy
Sonic the Hedgehog,2020,7+,6.5/10,74/100,+ Rent or Buy
22 Jump Street,2014,18+,7.0/10,74/100,Rent or Buy
Behind the Curve,2018,16+,6.5/10,74/100,+ Rent or Buy
Marius,1931,,7.9/10,74/100,+ Rent or Buy
Star Trek II: The Wrath of Khan,1982,7+,7.7/10,74/100,+ Rent or Buy
The Aviator's Wife,1981,7+,7.5/10,74/100,Rent or Buy
Roll Red Roll,2019,,7.1/10,74/100,
127 Hours,2010,18+,7.5/10,74/100,Rent or Buy
Big Trouble in Little China,1986,13+,7.3/10,74/100,+ Rent or Buy
Gentleman's Agreement,1947,7+,7.2/10,74/100,Rent or Buy
Labyrinth,1986,7+,7.4/10,74/100,+ Rent or Buy
The Fountainhead,1949,,7.1/10,74/100,+ Rent or Buy
Human Traffic,1999,18+,7.1/10,74/100,Rent or Buy
Godzilla,2014,13+,6.4/10,74/100,Rent or Buy
