Title,Year,Rating,IMDB Score,Reelgood Rating Score,Available On,url_offset_value
McCullin,2012,N/A,8.2/10,72/100,Rent or Buy,2150
Field of Dreams,1989,7+,7.5/10,72/100,+ Rent or Buy,2150
Legally Blonde,2001,13+,6.3/10,72/100,+ Rent or Buy,2150
The Conversation,1974,7+,7.8/10,72/100,+ Rent or Buy,2150
A Fish Called Wanda,1988,18+,7.5/10,72/100,Rent or Buy,2150
Qarib Qarib Singlle,2017,N/A,7.1/10,72/100,,2150
Jungle,2017,18+,6.7/10,72/100,+ Rent or Buy,2150
Powwow Highway,1989,18+,7.2/10,72/100,,2150
The Island,2005,13+,6.8/10,72/100,+ Rent or Buy,2150
One Day,2011,13+,7.0/10,72/100,+ Rent or Buy,2150
The Cabinet of Dr. Caligari,1920,N/A,8.1/10,72/100,filmcont+ Rent or Buy,2150
The Wicker Man,1973,18+,7.5/10,72/100,+ Rent or Buy,2150
For Me and My Gal,1942,N/A,7.1/10,72/100,Rent or Buy,2150
The Last Emperor,1987,13+,7.7/10,72/100,+ Rent or Buy,2150
The Mitchells vs. The Machines,2021,7+,7.8/10,72/100,,2150
Badlands,1973,7+,7.8/10,72/100,+ Rent or Buy,2150
Papicha,2019,18+,7.0/10,72/100,+ Rent or Buy,2150
Ender's Game,2013,13+,6.6/10,72/100,+ Rent or Buy,2150
Mud,2013,13+,7.4/10,72/100,+ Rent or Buy,2150
Wanda,1971,7+,7.1/10,72/100,+ Rent or Buy,2150
Queen Christina,1934,N/A,7.6/10,72/100,Rent or Buy,2150
The Story of Adele H.,1975,7+,7.3/10,72/100,Rent or Buy,2200
Everest,2015,13+,7.1/10,72/100,+ Rent or Buy,2200
Peter Pan,1953,all,7.3/10,72/100,+ Rent or Buy,2200
Next of Kin,1982,N/A,6.4/10,72/100,+ Rent or Buy,2200
The Crimson Pirate,1952,7+,7.3/10,72/100,Rent or Buy,2200
Eye for an Eye,2019,18+,6.6/10,72/100,,2200
A Simple Plan,1998,18+,7.5/10,72/100,+ Rent or Buy,2200
Hanna,2011,13+,6.8/10,72/100,+ Rent or Buy,2200
The Hunt,2020,16+,6.5/10,72/100,+ Rent or Buy,2200
Emma.,2020,7+,6.7/10,72/100,+ Rent or Buy,2200
Ghostbusters II,1989,7+,6.6/10,72/100,+ Rent or Buy,2200
It Happened One Night,1934,N/A,8.1/10,72/100,Rent or Buy,2200
Bliss,2007,N/A,7.5/10,72/100,,2200
The Secret Life of Pets,2016,7+,6.5/10,72/100,+ Rent or Buy,2200
Tag,2018,18+,6.5/10,72/100,+ Rent or Buy,2200
The Holiday,2006,13+,6.9/10,72/100,+ Rent or Buy,2200
Ronin,1998,18+,7.3/10,72/100,+ Rent or Buy,2200
2012,2009,13+,5.8/10,72/100,+ Rent or Buy,2200
T2 Trainspotting,2017,18+,7.2/10,72/100,+ Rent or Buy,2200
Philomena,2013,13+,7.6/10,72/100,+ Rent or Buy,2200
Something from Nothing: The Art of Rap,2012,18+,7.1/10,72/100,+ Rent or Buy,2200
Bobby Fischer Against the World,2011,7+,7.4/10,72/100,Rent or Buy,2200
War of the Worlds,2005,13+,6.5/10,72/100,Rent or Buy,2200
Senso,1954,N/A,7.5/10,72/100,,2200
Peppermint,2018,18+,6.5/10,72/100,+ Rent or Buy,2200
Hitch,2005,13+,6.6/10,72/100,+ Rent or Buy,2200
Scream for Me Sarajevo,2018,N/A,8.8/10,72/100,Rent or Buy,2200
Brooklyn,2015,13+,7.5/10,72/100,Rent or Buy,2200
Wanted,2008,18+,6.7/10,72/100,Rent or Buy,2200
WarGames,1983,7+,7.1/10,72/100,+ Rent or Buy,2200
EuroTrip,2004,18+,6.6/10,72/100,+ Rent or Buy,2200
Pooh's Heffalump Movie,2005,all,6.4/10,72/100,+ Rent or Buy,2200
India's Daughter,2015,13+,8.2/10,72/100,Rent or Buy,2200
The Cannonball Run,1981,7+,6.2/10,72/100,Rent or Buy,2200
The Boys: The Sherman Brothers' Story,2009,7+,7.8/10,72/100,+ Rent or Buy,2200
Chicken Run,2000,all,7.0/10,72/100,+ Rent or Buy,2200
That Darn Cat!,1965,all,6.8/10,72/100,,2200
Twister,1996,13+,6.4/10,72/100,+ Rent or Buy,2200
Lola Montès,1955,N/A,7.3/10,72/100,,2200
Saw II,2005,18+,6.6/10,72/100,+ Rent or Buy,2200
Barcelona,1994,13+,7.0/10,72/100,Rent or Buy,2200
Dostana,2008,13+,6.5/10,72/100,,2200
Geri's Game,1997,all,7.9/10,72/100,+ Rent or Buy,2200
Ai Weiwei: Never Sorry,2012,18+,7.6/10,72/100,Rent or Buy,2200
The Courier,2021,13+,7.1/10,72/100,Rent or Buy,2200
Valerian and the City of a Thousand Planets,2017,13+,6.5/10,72/100,+ Rent or Buy,2200
Nebraska,2013,18+,7.7/10,72/100,+ Rent or Buy,2200
Performance,1970,18+,6.9/10,72/100,Rent or Buy,2200
Rocky IV,1985,7+,6.9/10,72/100,+ Rent or Buy,2200
Lady and the Tramp,2019,7+,6.3/10,72/100,,2200
The Outsiders,1983,7+,7.1/10,72/100,Rent or Buy,2250
Con Air,1997,18+,6.9/10,72/100,Rent or Buy,2250
Emma,1996,all,7.0/10,72/100,Rent or Buy,2250
25th Hour,2002,18+,7.6/10,72/100,+ Rent or Buy,2250
The Mule,2014,N/A,6.3/10,72/100,+ Rent or Buy,2250
Tomb Raider,2018,13+,6.3/10,72/100,+ Rent or Buy,2250
"Tomorrow, When the War Began",2010,18+,6.2/10,72/100,+ Rent or Buy,2250
Spirit: Stallion of the Cimarron,2002,all,7.2/10,72/100,+ Rent or Buy,2250
And the Ship Sails On,1983,7+,7.6/10,72/100,,2250
The Inn of the Sixth Happiness,1958,N/A,7.2/10,72/100,Rent or Buy,2250
When We First Met,2018,16+,6.4/10,72/100,,2250
Austin Powers: The Spy Who Shagged Me,1999,13+,6.6/10,72/100,+ Rent or Buy,2250
Pocahontas,1995,all,6.7/10,72/100,+ Rent or Buy,2250
Detachment,2011,N/A,7.7/10,72/100,+ Rent or Buy,2250
Mommy,2014,18+,8.1/10,72/100,+ Rent or Buy,2250
Team America: World Police,2004,18+,7.2/10,72/100,+ Rent or Buy,2250
Intimacy,2001,18+,6.1/10,72/100,+ Rent or Buy,2250
Stargirl,2020,7+,6.2/10,72/100,,2250
The Birdcage,1996,18+,7.1/10,72/100,+ Rent or Buy,2250
Joshua: Teenager vs. Superpower,2017,16+,7.1/10,72/100,,2250
The Phantom of the Opera,2004,13+,7.2/10,72/100,+ Rent or Buy,2250
The Crazies,2010,18+,6.5/10,72/100,+ Rent or Buy,2250
King Kong,1933,N/A,7.9/10,72/100,+ Rent or Buy,2250
The Girl on the Train,2016,18+,6.5/10,72/100,+ Rent or Buy,2250
Chasing Happiness,2019,N/A,7.8/10,72/100,,2250
Populaire,2012,18+,6.9/10,72/100,Rent or Buy,2250
Escape Room,2019,13+,6.4/10,72/100,+ Rent or Buy,2250
Uncle Boonmee Who Can Recall His Past Lives,2010,N/A,6.7/10,72/100,+ Rent or Buy,2250
August: Osage County,2013,18+,7.2/10,72/100,+ Rent or Buy,2250
Deathtrap,1982,7+,7.0/10,72/100,Rent or Buy,2250
La Chinoise,1967,N/A,7.1/10,72/100,+ Rent or Buy,2250
Terminator 3: Rise of the Machines,2003,18+,6.3/10,72/100,+ Rent or Buy,2250
The Meaning of Life,1983,18+,7.5/10,72/100,+ Rent or Buy,2250
Maze Runner: The Death Cure,2018,13+,6.3/10,72/100,+ Rent or Buy,2250
The Big Bird Cage,1972,18+,5.9/10,72/100,+ Rent or Buy,2250
Papillon,2017,18+,7.2/10,72/100,+ Rent or Buy,2250
Equinox Flower,1958,N/A,7.9/10,72/100,,2250
Dumbo,1941,all,7.2/10,72/100,+ Rent or Buy,2250
Icarus,2017,18+,7.9/10,72/100,,2250
Good Boys,2019,18+,6.7/10,72/100,+ Rent or Buy,2250
Barton Fink,1991,18+,7.7/10,72/100,Rent or Buy,2250
Side Effects,2013,18+,7.1/10,72/100,+ Rent or Buy,2250
Mother,2009,18+,7.8/10,72/100,doxmons+ Rent or Buy,2250
Petta,2019,N/A,7.3/10,72/100,,2250
Little Nicholas,2009,all,7.1/10,72/100,Rent or Buy,2250
The Lovers,1958,N/A,7.2/10,72/100,+ Rent or Buy,2250
Eastern Boys,2013,N/A,6.9/10,72/100,+ Rent or Buy,2250
Friday,1995,18+,7.3/10,72/100,Rent or Buy,2250
Triple Frontier,2019,18+,6.4/10,72/100,,2250
Mirage,2018,18+,7.4/10,72/100,,2250
We Are Legion: The Story of the Hacktivists,2012,7+,7.3/10,72/100,Rent or Buy,2300
I See You,2019,18+,6.8/10,72/100,+ Rent or Buy,2300
The Spectacular Now,2013,18+,7.1/10,72/100,+ Rent or Buy,2300
Shadow of the Thin Man,1941,N/A,7.3/10,72/100,Rent or Buy,2300
You've Got Mail,1998,7+,6.7/10,72/100,+ Rent or Buy,2300
Salaam Namaste,2005,7+,6.2/10,72/100,+ Rent or Buy,2300
Deliverance,1972,18+,7.7/10,72/100,Rent or Buy,2300
The Way Way Back,2013,13+,7.4/10,72/100,Rent or Buy,2300
Red Dust,1932,N/A,7.3/10,72/100,Rent or Buy,2300
Unbroken,2014,13+,7.2/10,72/100,+ Rent or Buy,2300
King Lear,2018,16+,6.2/10,72/100,,2300
Madadayo,1993,N/A,7.3/10,72/100,,2300
Paul,2011,18+,7.0/10,72/100,Rent or Buy,2300
Nymphomaniac: Vol. I,2013,18+,6.9/10,72/100,Rent or Buy,2300
Pride,2014,18+,7.8/10,72/100,+ Rent or Buy,2300
You Were Never Really Here,2017,18+,6.8/10,72/100,+ Rent or Buy,2300
The Butler,2013,13+,7.2/10,72/100,+ Rent or Buy,2300
The Silent Child,2017,18+,7.7/10,72/100,+ Rent or Buy,2300
"Accidental Courtesy: Daryl Davis, Race & America",2016,N/A,7.7/10,72/100,+ Rent or Buy,2300
Resident Evil: Extinction,2007,18+,6.2/10,72/100,+ Rent or Buy,2300
Sideways,2004,18+,7.5/10,72/100,Rent or Buy,2300
Midnight Cowboy,1969,18+,7.8/10,72/100,+ Rent or Buy,2300
Children Underground,2001,N/A,8.2/10,72/100,Rent or Buy,2300
RockNRolla,2008,18+,7.3/10,72/100,Rent or Buy,2300
Matilda,1996,7+,6.9/10,72/100,Rent or Buy,2300
Pitch Perfect 2,2015,13+,6.4/10,72/100,+ Rent or Buy,2300
Funny Games,1998,18+,7.6/10,72/100,+ Rent or Buy,2300
Avalon,2001,18+,6.5/10,72/100,,2300
Kannathil Muthamittal,2002,N/A,8.4/10,72/100,Rent or Buy,2300
Look Back in Anger,1959,7+,7.0/10,72/100,,2300
Lars and the Real Girl,2007,13+,7.3/10,72/100,+ Rent or Buy,2300
Gemini Man,2019,13+,5.7/10,72/100,+ Rent or Buy,2300
The Wild Parrots of Telegraph Hill,2003,all,7.8/10,72/100,,2300
The Eye,2002,18+,6.7/10,72/100,Rent or Buy,2300
Punch-Drunk Love,2002,18+,7.3/10,72/100,+ Rent or Buy,2300
Blade II,2002,18+,6.7/10,72/100,+ Rent or Buy,2300
3-Iron,2004,18+,8.0/10,72/100,+ Rent or Buy,2300
Alien Resurrection,1997,18+,6.2/10,72/100,+ Rent or Buy,2300
Old School,2003,18+,7.1/10,72/100,Rent or Buy,2300
Neighbors,2014,18+,6.3/10,72/100,+ Rent or Buy,2300
Cinderella,2015,7+,6.9/10,72/100,Rent or Buy,2300
No End,1985,N/A,7.5/10,72/100,,2300
Saraband,2003,18+,7.6/10,72/100,Rent or Buy,2300
The Killing,1956,N/A,8.0/10,72/100,Rent or Buy,2300
"Godzilla, King of the Monsters!",1956,N/A,6.4/10,72/100,+ Rent or Buy,2300
Imperial Dreams,2014,N/A,6.7/10,72/100,,2300
La Dolce Vita,1960,N/A,8.0/10,71/100,film+ Rent or Buy,2300
The Navigator: A Medieval Odyssey,1988,7+,6.7/10,71/100,+ Rent or Buy,2300
Troll Hunter,2010,13+,7.0/10,71/100,+ Rent or Buy,2300
Best in Show,2000,13+,7.5/10,71/100,+ Rent or Buy,2300
Sympathy for Lady Vengeance,2005,18+,7.6/10,71/100,,2350
Street of Shame,1956,N/A,7.9/10,71/100,,2350
Fast Times at Ridgemont High,1982,18+,7.2/10,71/100,+ Rent or Buy,2350
His Girl Friday,1940,N/A,7.9/10,71/100,dovesecr+ Rent or Buy,2350
Open Your Eyes,1997,18+,7.7/10,71/100,+ Rent or Buy,2350
Best Worst Thing That Ever Could Have Happened...,2016,N/A,7.5/10,71/100,,2350
Non-Stop,2014,13+,6.9/10,71/100,+ Rent or Buy,2350
Tiger Zinda Hai,2017,7+,5.9/10,71/100,+ Rent or Buy,2350
Sleeping Beauty,1959,all,7.2/10,71/100,+ Rent or Buy,2350
Patriots Day,2016,18+,7.4/10,71/100,Rent or Buy,2350
Bunny Lake Is Missing,1965,N/A,7.3/10,71/100,Rent or Buy,2350
Hellboy II: The Golden Army,2008,13+,7.0/10,71/100,+ Rent or Buy,2350
Stoker,2013,18+,6.8/10,71/100,+ Rent or Buy,2350
2 Fast 2 Furious,2003,13+,5.9/10,71/100,+ Rent or Buy,2350
Déjà Vu,2006,13+,7.0/10,71/100,Rent or Buy,2350
The Yes Men Fix the World,2009,N/A,7.6/10,71/100,,2350
Clerks II,2006,18+,7.3/10,71/100,+ Rent or Buy,2350
The Expendables 2,2012,18+,6.6/10,71/100,+ Rent or Buy,2350
Aileen: Life and Death of a Serial Killer,2003,18+,7.1/10,71/100,,2350
Which Way Is The Front Line From Here? The Life and Time of Tim Hetherington,2013,N/A,7.8/10,71/100,Rent or Buy,2350
The Fisher King,1991,18+,7.5/10,71/100,+ Rent or Buy,2350
Robin Hood,1922,7+,7.1/10,71/100,+ Rent or Buy,2350
Welcome to Leith,2015,N/A,7.0/10,71/100,+ Rent or Buy,2350
(T)ERROR,2015,N/A,6.6/10,71/100,+ Rent or Buy,2350
Warcraft,2016,13+,6.8/10,71/100,+ Rent or Buy,2350
Boys Town,1938,N/A,7.3/10,71/100,Rent or Buy,2350
August Rush,2007,7+,7.5/10,71/100,+ Rent or Buy,2350
The Kissing Booth,2018,16+,6.0/10,71/100,,2350
The Ides of March,2011,18+,7.1/10,71/100,+ Rent or Buy,2350
Pi,1998,18+,7.4/10,71/100,+ Rent or Buy,2350
The Wind Rises,2013,13+,7.8/10,71/100,+ Rent or Buy,2350
Atlantis: The Lost Empire,2001,7+,6.9/10,71/100,+ Rent or Buy,2350
A Simple Favor,2018,18+,6.8/10,71/100,Rent or Buy,2350
Saving Capitalism,2017,7+,6.8/10,71/100,,2350
Match Point,2005,18+,7.6/10,71/100,Rent or Buy,2350
Urbanized,2011,N/A,7.3/10,71/100,+ Rent or Buy,2350
The Gold Rush,1925,N/A,8.2/10,71/100,film+ Rent or Buy,2350
Rabid Dogs,1974,N/A,7.5/10,71/100,,2350
Tell No One,2006,N/A,7.5/10,71/100,+ Rent or Buy,2350
Steve Jobs: The Lost Interview,2012,N/A,8.0/10,71/100,Rent or Buy,2350
Soul Kitchen,2009,N/A,7.2/10,71/100,Rent or Buy,2350
Central Intelligence,2016,13+,6.3/10,71/100,+ Rent or Buy,2350
Song of the Sea,2014,7+,8.1/10,71/100,Rent or Buy,2350
Tokyo Story,1953,N/A,8.2/10,71/100,+ Rent or Buy,2350
Murder on the Orient Express,2017,13+,6.5/10,71/100,+ Rent or Buy,2350
The Descendants,2011,18+,7.3/10,71/100,Rent or Buy,2350
Silent Hill,2006,18+,6.5/10,71/100,+ Rent or Buy,2350
The Mountain Between Us,2017,13+,6.4/10,71/100,+ Rent or Buy,2350
Duma,2005,7+,7.2/10,71/100,Rent or Buy,2350
Orphan,2009,18+,7.0/10,71/100,Rent or Buy,2350
Silent Light,2007,N/A,7.2/10,71/100,+ Rent or Buy,2400
They Shall Not Grow Old,2018,18+,8.3/10,71/100,Rent or Buy,2400
Unconditional,2012,13+,7.2/10,71/100,Rent or Buy,2400
Valkyrie,2008,13+,7.1/10,71/100,+ Rent or Buy,2400
Notes on Blindness,2016,N/A,7.1/10,71/100,+ Rent or Buy,2400
Midnight in the Garden of Good and Evil,1997,18+,6.6/10,71/100,Rent or Buy,2400
The Life of Emile Zola,1937,all,7.2/10,71/100,Rent or Buy,2400
The Good Dinosaur,2015,7+,6.7/10,71/100,+ Rent or Buy,2400
Richard Jewell,2019,18+,7.5/10,71/100,+ Rent or Buy,2400
The Personal History of David Copperfield,2019,7+,6.4/10,71/100,+ Rent or Buy,2400
Reel Injun,2010,18+,7.6/10,71/100,,2400
White House Down,2013,13+,6.3/10,71/100,+ Rent or Buy,2400
National Treasure: Book of Secrets,2007,7+,6.5/10,71/100,+ Rent or Buy,2400
Star Trek IV: The Voyage Home,1986,7+,7.3/10,71/100,+ Rent or Buy,2400
Christopher Robin,2018,7+,7.3/10,71/100,+ Rent or Buy,2400
The Age of Shadows,2016,N/A,7.2/10,71/100,Rent or Buy,2400
The Dirty Dozen,1967,N/A,7.7/10,71/100,+ Rent or Buy,2400
The Mauritanian,2021,18+,7.4/10,71/100,Rent or Buy,2400
John Mulaney: New in Town,2012,18+,8.3/10,71/100,+ Rent or Buy,2400
Beasts of No Nation,2015,18+,7.7/10,71/100,,2400
The Whole Nine Yards,2000,18+,6.7/10,71/100,+ Rent or Buy,2400
Brother's Keeper,1992,18+,7.5/10,71/100,Rent or Buy,2400
The Punk Singer,2013,N/A,7.4/10,71/100,Rent or Buy,2400
Sinbad: Legend of the Seven Seas,2003,7+,6.7/10,71/100,+ Rent or Buy,2400
The Giver,2014,13+,6.5/10,71/100,+ Rent or Buy,2400
Y Tu Mamá También,2001,18+,7.6/10,71/100,+ Rent or Buy,2400
They Drive by Night,1940,N/A,7.3/10,71/100,Rent or Buy,2400
Teen Kanya,1961,N/A,8.0/10,71/100,,2400
Basquiat,1996,18+,6.9/10,71/100,Rent or Buy,2400
Eddie the Eagle,2016,13+,7.4/10,71/100,+ Rent or Buy,2400
Chasing Amy,1997,18+,7.2/10,71/100,+ Rent or Buy,2400
Panic Room,2002,18+,6.8/10,71/100,+ Rent or Buy,2400
Rounders,1998,18+,7.3/10,71/100,+ Rent or Buy,2400
Anastasia,1956,7+,7.1/10,71/100,Rent or Buy,2400
Tumhari Sulu,2017,N/A,7.0/10,71/100,,2400
Concert for George,2003,13+,8.6/10,71/100,Rent or Buy,2400
La luna,2012,all,8.0/10,71/100,+ Rent or Buy,2400
Only the Brave,2017,13+,7.6/10,71/100,Rent or Buy,2400
San Francisco,1936,N/A,7.2/10,71/100,Rent or Buy,2400
The Guest,2014,18+,6.7/10,71/100,+ Rent or Buy,2400
Glory Road,2006,7+,7.2/10,71/100,+ Rent or Buy,2400
The Animatrix,2003,13+,7.4/10,71/100,+ Rent or Buy,2400
Badrinath Ki Dulhania,2017,7+,6.1/10,71/100,+ Rent or Buy,2400
The Prince of Egypt,1998,7+,7.1/10,71/100,Rent or Buy,2400
Green Room,2016,18+,7.0/10,71/100,+ Rent or Buy,2400
Born to Be Wild,2011,all,7.6/10,71/100,Rent or Buy,2400
Piper,2016,all,8.4/10,71/100,+ Rent or Buy,2400
Nobody Knows I'm Here,2020,18+,6.5/10,71/100,,2400
Touch of Evil,1958,13+,8.0/10,71/100,Rent or Buy,2400
A Knight's Tale,2001,13+,6.9/10,71/100,Rent or Buy,2400
Ad Astra,2019,13+,6.5/10,71/100,+ Rent or Buy,2450
Minions,2015,7+,6.4/10,71/100,Rent or Buy,2450
X-Men: Dark Phoenix,2019,13+,5.7/10,71/100,+ Rent or Buy,2450
Early Spring,1956,N/A,7.8/10,71/100,,2450
Hellraiser,1987,18+,7.0/10,71/100,+ Rent or Buy,2450
Robot & Frank,2012,13+,7.1/10,71/100,+ Rent or Buy,2450
The Best Years of Our Lives,1946,N/A,8.1/10,71/100,+ Rent or Buy,2450
LA Originals,2020,N/A,7.2/10,71/100,,2450
Shame,2011,18+,7.2/10,71/100,Rent or Buy,2450
The Babadook,2014,18+,6.8/10,71/100,Rent or Buy,2450
In the House,2012,18+,7.4/10,71/100,+ Rent or Buy,2450
The Agony and the Ecstasy,1965,18+,7.2/10,71/100,Rent or Buy,2450
Fanny,1932,N/A,7.8/10,71/100,+ Rent or Buy,2450
Citizenfour,2014,18+,8.0/10,71/100,+ Rent or Buy,2450
The Mask of Zorro,1998,7+,6.8/10,71/100,+ Rent or Buy,2450
Rocky Balboa,2006,7+,7.1/10,71/100,+ Rent or Buy,2450
A Walk to Remember,2002,7+,7.3/10,71/100,+ Rent or Buy,2450
An American Pickle,2020,13+,5.7/10,71/100,,2450
Chappie,2015,18+,6.8/10,71/100,Rent or Buy,2450
Three Monkeys,2008,N/A,7.3/10,71/100,Rent or Buy,2450
The Cove,2009,13+,8.4/10,71/100,+ Rent or Buy,2450
The African Queen,1952,7+,7.8/10,71/100,+ Rent or Buy,2450
God's Own Country,2017,N/A,7.7/10,71/100,+ Rent or Buy,2450
The Wild Bunch,1969,18+,7.9/10,71/100,+ Rent or Buy,2450
21 Grams,2003,18+,7.6/10,71/100,Rent or Buy,2450
Loving Vincent,2017,13+,7.8/10,71/100,+ Rent or Buy,2450
Blackfish,2013,13+,8.1/10,71/100,dox+ Rent or Buy,2450
Strangers on a Train,1951,7+,8.0/10,71/100,Rent or Buy,2450
Les Cousins,1959,N/A,7.3/10,71/100,,2450
The Mule,2018,18+,7.0/10,71/100,Rent or Buy,2450
Little Children,2006,18+,7.5/10,71/100,+ Rent or Buy,2450
Terminator Genisys,2015,13+,6.3/10,71/100,Rent or Buy,2450
Bowling for Columbine,2002,18+,7.9/10,71/100,+ Rent or Buy,2450
Dune,1984,13+,6.5/10,71/100,+ Rent or Buy,2450
David Bowie: The Last Five Years,2017,16+,7.5/10,71/100,,2450
Tarzan and His Mate,1934,7+,7.3/10,71/100,Rent or Buy,2450
The Infiltrator,2016,18+,7.0/10,71/100,+ Rent or Buy,2450
21,2008,13+,6.8/10,71/100,+ Rent or Buy,2450
In the Company of Men,1997,18+,7.2/10,71/100,Rent or Buy,2450
Ali's Wedding,2017,18+,6.9/10,71/100,,2450
Fried Green Tomatoes,1991,13+,7.7/10,71/100,Rent or Buy,2450
The Front Page,1974,7+,7.3/10,71/100,Rent or Buy,2450
The Bone Collector,1999,18+,6.7/10,71/100,+ Rent or Buy,2450
Whores' Glory,2011,N/A,7.2/10,71/100,,2450
Downton Abbey,2019,7+,7.4/10,71/100,+ Rent or Buy,2450
The Book of Life,2014,7+,7.3/10,71/100,+ Rent or Buy,2450
Men of Honor,2000,18+,7.2/10,71/100,+ Rent or Buy,2450
"Synecdoche, New York",2008,18+,7.6/10,71/100,Rent or Buy,2450
Spy Game,2001,16+,7.1/10,71/100,+ Rent or Buy,2450
A Bittersweet Life,2005,18+,7.5/10,71/100,+ Rent or Buy,2450
Bloodshot,2020,13+,5.7/10,71/100,+ Rent or Buy,2500
Patriot Games,1992,18+,6.9/10,71/100,+ Rent or Buy,2500
The Informant!,2009,18+,6.4/10,71/100,Rent or Buy,2500
Extinction,2018,18+,5.8/10,71/100,,2500
Tarzan the Ape Man,1932,7+,7.0/10,71/100,Rent or Buy,2500
It,1927,N/A,7.3/10,71/100,+ Rent or Buy,2500
Out 1,1971,N/A,7.7/10,71/100,,2500
Jubal,1956,N/A,7.1/10,71/100,Rent or Buy,2500
Polar,2019,18+,6.3/10,71/100,,2500
The Corpse of Anna Fritz,2015,18+,5.9/10,71/100,+ Rent or Buy,2500
Air Force One,1997,18+,6.5/10,71/100,+ Rent or Buy,2500
The Act of Killing,2012,N/A,8.2/10,71/100,+ Rent or Buy,2500
Amateur,1994,18+,6.9/10,71/100,Rent or Buy,2500
17 Again,2009,13+,6.4/10,71/100,+ Rent or Buy,2500
The Right Stuff,1983,7+,7.8/10,71/100,+ Rent or Buy,2500
Going Clear: Scientology and the Prison of Belief,2015,N/A,8.0/10,71/100,+ Rent or Buy,2500
Red Sparrow,2018,18+,6.6/10,71/100,Rent or Buy,2500
Only Yesterday,1991,7+,7.6/10,71/100,,2500
9,2009,13+,7.1/10,71/100,+ Rent or Buy,2500
After,2019,13+,5.3/10,71/100,+ Rent or Buy,2500
Game Over,2019,13+,7.1/10,71/100,+ Rent or Buy,2500
Paprika,2006,18+,7.7/10,71/100,Rent or Buy,2500
Looking for Eric,2009,N/A,7.2/10,71/100,Rent or Buy,2500
The Hangover Part II,2011,18+,6.4/10,71/100,Rent or Buy,2500
Focus,2015,18+,6.6/10,71/100,+ Rent or Buy,2500
Photograph,2019,13+,6.9/10,71/100,,2500
Audition,1999,18+,7.2/10,71/100,hiya+ Rent or Buy,2500
The Little Things,2021,18+,6.3/10,71/100,+ Rent or Buy,2500
Gentleman Jim,1942,N/A,7.6/10,71/100,Rent or Buy,2500
Cover Girl,1944,N/A,6.8/10,71/100,Rent or Buy,2500
The Hours,2002,13+,7.5/10,71/100,+ Rent or Buy,2500
Chronicle,2012,13+,7.0/10,71/100,Rent or Buy,2500
The Dictator,2012,18+,6.4/10,71/100,+ Rent or Buy,2500
Gertrud,1964,N/A,7.4/10,71/100,,2500
Drag Me to Hell,2009,13+,6.5/10,71/100,+ Rent or Buy,2500
The World Is Yours,2018,18+,6.4/10,71/100,,2500
Timecrimes,2007,18+,7.2/10,71/100,mons+ Rent or Buy,2500
The Girl Who Kicked the Hornet's Nest,2009,18+,7.3/10,71/100,+ Rent or Buy,2500
Cannibal! The Musical,1993,18+,7.1/10,71/100,Rent or Buy,2500
Den of Thieves,2018,18+,7.0/10,71/100,Rent or Buy,2500
Eyes Wide Open,2009,N/A,7.3/10,71/100,Rent or Buy,2500
Hocus Pocus,1993,7+,6.9/10,71/100,+ Rent or Buy,2500
The Violin,2005,N/A,7.7/10,71/100,,2500
Mother Küsters Goes to Heaven,1975,N/A,7.6/10,71/100,,2500
Amour,2012,13+,7.9/10,71/100,+ Rent or Buy,2500
Host,2020,16+,6.5/10,71/100,+ Rent or Buy,2500
Dil Chahta Hai,2001,all,8.1/10,71/100,+ Rent or Buy,2500
War Horse,2011,13+,7.2/10,71/100,+ Rent or Buy,2500
Rise of the Guardians,2012,7+,7.3/10,71/100,Rent or Buy,2500
Lemony Snicket's A Series of Unfortunate Events,2004,7+,6.8/10,71/100,+ Rent or Buy,2500
Sabrina,1954,all,7.7/10,71/100,+ Rent or Buy,2550
Grizzly Man,2005,18+,7.8/10,71/100,+ Rent or Buy,2550
Wolf Children,2012,7+,8.1/10,71/100,Rent or Buy,2550
Miss Congeniality,2000,13+,6.3/10,71/100,+ Rent or Buy,2550
Let Me In,2010,18+,7.1/10,71/100,+ Rent or Buy,2550
Mississippi Burning,1988,18+,7.8/10,71/100,+ Rent or Buy,2550
The Searchers,1956,N/A,7.9/10,71/100,Rent or Buy,2550
Fat Girl,2001,N/A,6.5/10,71/100,+ Rent or Buy,2550
Frequency,2000,13+,7.3/10,71/100,+ Rent or Buy,2550
The Big Sleep,1946,N/A,7.9/10,71/100,Rent or Buy,2550
Lights Out,2016,13+,6.3/10,71/100,+ Rent or Buy,2550
Escape Plan,2013,18+,6.7/10,71/100,Rent or Buy,2550
Wild,2014,18+,7.1/10,71/100,Rent or Buy,2550
My Left Foot: The Story of Christy Brown,1989,18+,7.9/10,71/100,+ Rent or Buy,2550
Godzilla: King of the Monsters,2019,13+,6.0/10,71/100,+ Rent or Buy,2550
Sorry to Bother You,2018,18+,6.9/10,71/100,+ Rent or Buy,2550
Bone Tomahawk,2015,N/A,7.1/10,71/100,+ Rent or Buy,2550
Comedian,2002,18+,6.9/10,71/100,,2550
The Black Power Mixtape 1967-1975,2011,N/A,7.6/10,71/100,Rent or Buy,2550
Step Into Liquid,2003,13+,7.4/10,71/100,+ Rent or Buy,2550
Bound,1996,18+,7.3/10,71/100,+ Rent or Buy,2550
