Title,Year,Rating,IMDB Score,Reelgood Rating Score,Available On,url_offset_value
Crutch,2004,18+,5.1/10,40/100,,40000
"Listen, Darling",1938,N/A,6.6/10,40/100,Rent or Buy,40000
Laura Gets a Cat,2018,N/A,7.6/10,40/100,+ Rent or Buy,40000
Submarine Alert,1943,N/A,5.5/10,40/100,,40000
Hell Girl,2019,N/A,4.8/10,40/100,,40000
Solitary,2009,16+,5.3/10,40/100,+ Rent or Buy,40000
Is There Life Out There?,1994,N/A,7.0/10,40/100,upfa+ Rent or Buy,40000
The Gift of Love,1978,7+,7.0/10,40/100,dove+ Rent or Buy,40000
MIA,2019,N/A,6.9/10,40/100,+ Rent or Buy,40000
Phobia,1980,18+,4.0/10,40/100,Rent or Buy,40000
Filthy Gorgeous: The Bob Guccione Story,2013,18+,6.5/10,40/100,Rent or Buy,40000
Carl(a),2011,N/A,6.6/10,40/100,+ Rent or Buy,40000
Snap,2010,N/A,6.7/10,40/100,+ Rent or Buy,40000
The Magnificent Seven Deadly Sins,1971,N/A,5.4/10,40/100,,40000
StalkHer,2015,N/A,4.8/10,40/100,+ Rent or Buy,40000
Agoraphobia,2015,18+,3.4/10,40/100,,40000
Sheep Hero,2019,N/A,6.8/10,40/100,,40000
Roberto the Insect Architect,2005,N/A,7.9/10,40/100,+ Rent or Buy,40000
Dick Winters: Hang Tough,2012,N/A,8.3/10,40/100,+ Rent or Buy,40000
Notes from the Heart Healer,2012,7+,5.9/10,40/100,Rent or Buy,40000
Ms. Scrooge,1997,all,5.3/10,40/100,,40000
Return to a Better Tomorrow,1994,N/A,5.9/10,40/100,hiya,40000
Ana by Day,2018,N/A,5.5/10,40/100,Rent or Buy,40000
I Want to Get Married,2011,N/A,3.7/10,40/100,,40000
Light Keeps Me Company,2000,N/A,7.0/10,40/100,,40000
Circle of Pain,2010,18+,3.5/10,40/100,Rent or Buy,40000
The Dune,2014,N/A,6.9/10,40/100,,40000
Bath House,2014,N/A,6.1/10,40/100,,40000
Gerrymandering,2010,N/A,7.1/10,40/100,Rent or Buy,40000
Horrors of the Black Museum,1959,N/A,6.0/10,40/100,,40000
Body Swap,2019,N/A,5.7/10,40/100,+ Rent or Buy,40000
The Woman in White,1917,N/A,7.2/10,40/100,,40000
Soul on a String,2016,N/A,6.7/10,40/100,+ Rent or Buy,40000
Bumboo,2012,N/A,6.0/10,40/100,Rent or Buy,40000
Apocalypse: A Bill Callahan Tour Film,2012,N/A,7.5/10,40/100,+ Rent or Buy,40000
