,,Title,,Year,Rating,,,Available On,,
31,,Ikiru,,1952,N/A,8.3/10,90/100,+ Rent or Buy,,Want To SeeSeen
32,,Yojimbo,,1961,N/A,8.2/10,90/100,+ Rent or Buy,,Want To SeeSeen
33,,The Straight Story,,1999,all,8.0/10,90/100,+ Rent or Buy,,Want To SeeSeen
34,,Three Colors: Blue,,1993,18+,7.9/10,90/100,+ Rent or Buy,,Want To SeeSeen
35,,Justice League: The Flashpoint Paradox,,2013,13+,8.1/10,90/100,+ Rent or Buy,,Want To SeeSeen
36,,Mary and Max,,2009,N/A,8.1/10,90/100,Rent or Buy,,Want To SeeSeen
37,,A Nightmare on Elm Street,,1984,18+,7.5/10,90/100,+ Rent or Buy,,Want To SeeSeen
38,,Roma,,2018,18+,7.7/10,90/100,,,Want To SeeSeen
39,,Inception,,2010,13+,8.8/10,90/100,+ Rent or Buy,,Want To SeeSeen
40,,All About Eve,,1950,7+,8.2/10,90/100,Rent or Buy,,Want To SeeSeen
41,,Wild Strawberries,,1957,18+,8.2/10,89/100,+ Rent or Buy,,Want To SeeSeen
42,,Batman: Under the Red Hood,,2010,13+,8.1/10,89/100,+ Rent or Buy,,Want To SeeSeen
43,,To All the Boys I've Loved Before,,2018,13+,7.1/10,89/100,,,Want To SeeSeen
44,,Lagaan: Once Upon a Time in India,,2001,7+,8.1/10,89/100,,,Want To SeeSeen
45,,The Trial of the Chicago 7,,2020,18+,7.8/10,89/100,,,Want To SeeSeen
46,,The Hunt for Red October,,1990,7+,7.6/10,89/100,Rent or Buy,,Want To SeeSeen
47,,Fruitvale Station,,2013,18+,7.5/10,89/100,+ Rent or Buy,,Want To SeeSeen
48,,Fanny and Alexander,,1982,18+,8.1/10,89/100,+ Rent or Buy,,Want To SeeSeen
49,,The Social Dilemma,,2020,13+,7.6/10,89/100,,,Want To SeeSeen
0,,Harakiri,,1962,N/A,8.6/10,89/100,+ Rent or Buy,,Want To SeeSeen
1,,Tumbbad,,2018,N/A,8.3/10,88/100,,,Want To SeeSeen
2,,The Shawshank Redemption,,1994,18+,9.3/10,88/100,Rent or Buy,,Want To SeeSeen
3,,The Godfather,,1972,18+,9.2/10,88/100,+ Rent or Buy,,Want To SeeSeen
4,,Okja,,2017,13+,7.3/10,88/100,,,Want To SeeSeen
5,,The Wages of Fear,,1953,13+,8.1/10,88/100,+ Rent or Buy,,Want To SeeSeen
6,,Dolemite Is My Name,,2019,18+,7.3/10,88/100,,,Want To SeeSeen
7,,The Ballad of Buster Scruggs,,2018,16+,7.3/10,88/100,,,Want To SeeSeen
8,,Article 15,,2019,18+,8.2/10,88/100,,,Want To SeeSeen
9,,Andrei Rublev,,1966,18+,8.1/10,88/100,+ Rent or Buy,,Want To SeeSeen
10,,Pulp Fiction,,1994,18+,8.9/10,88/100,+ Rent or Buy,,Want To SeeSeen
11,,The Philadelphia Story,,1940,N/A,7.9/10,88/100,+ Rent or Buy,,Want To SeeSeen
12,,"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",,2017,18+,7.7/10,88/100,,,Want To SeeSeen
13,,The Battle of Algiers,,1966,N/A,8.1/10,88/100,+ Rent or Buy,,Want To SeeSeen
14,,The Matrix,,1999,18+,8.7/10,88/100,+ Rent or Buy,,Want To SeeSeen
15,,Suspiria,,1977,18+,7.4/10,87/100,+ Rent or Buy,,Want To SeeSeen
16,,Mudbound,,2017,18+,7.4/10,87/100,,,Want To SeeSeen
17,,King Kong,,1933,N/A,7.9/10,87/100,+ Rent or Buy,,Want To SeeSeen
18,,The Lord of the Rings: The Fellowship of the Ring,,2001,13+,8.8/10,87/100,+ Rent or Buy,,Want To SeeSeen
19,,Swades,,2004,all,8.2/10,87/100,+ Rent or Buy,,Want To SeeSeen
20,,Z,,1969,N/A,8.3/10,87/100,+ Rent or Buy,,Want To SeeSeen
21,,Chak De! India,,2007,7+,8.2/10,87/100,+ Rent or Buy,,Want To SeeSeen
22,,The Secret World of Arrietty,,2010,all,7.6/10,87/100,+ Rent or Buy,,Want To SeeSeen
23,,Throne of Blood,,1957,N/A,8.1/10,87/100,+ Rent or Buy,,Want To SeeSeen
24,,Fyre,,2019,18+,7.2/10,87/100,,,Want To SeeSeen
25,,The Celebration,,1998,18+,8.1/10,87/100,Rent or Buy,,Want To SeeSeen
26,,The Lord of the Rings: The Return of the King,,2003,13+,8.9/10,87/100,+ Rent or Buy,,Want To SeeSeen
27,,A Bittersweet Life,,2005,18+,7.5/10,87/100,+ Rent or Buy,,Want To SeeSeen
28,,Interstellar,,2014,13+,8.6/10,87/100,Rent or Buy,,Want To SeeSeen
29,,La Strada,,1954,N/A,8.0/10,87/100,+ Rent or Buy,,Want To SeeSeen
30,,Neon Genesis Evangelion: The End of Evangelion,,1997,N/A,8.1/10,87/100,,,Want To SeeSeen
31,,Gully Boy,,2019,N/A,8.0/10,87/100,,,Want To SeeSeen
32,,Eraserhead,,1978,N/A,7.4/10,86/100,+ Rent or Buy,,Want To SeeSeen
33,,Greyhound,,2020,13+,7.0/10,86/100,,,Want To SeeSeen
34,,Pather Panchali,,1955,N/A,8.6/10,86/100,+ Rent or Buy,,Want To SeeSeen
35,,Miss Americana,,2020,18+,7.4/10,86/100,,,Want To SeeSeen
36,,The Platform,,2019,18+,7.0/10,86/100,,,Want To SeeSeen
37,,High and Low,,1963,N/A,8.4/10,86/100,+ Rent or Buy,,Want To SeeSeen
38,,To Be or Not to Be,,1942,all,8.2/10,86/100,,,Want To SeeSeen
39,,Contact,,1997,7+,7.5/10,86/100,+ Rent or Buy,,Want To SeeSeen
40,,Virunga,,2014,16+,8.2/10,86/100,,,Want To SeeSeen
41,,Minding the Gap,,2018,18+,8.1/10,86/100,,,Want To SeeSeen
42,,The Player,,1992,18+,7.5/10,86/100,+ Rent or Buy,,Want To SeeSeen
43,,Fight Club,,1999,18+,8.8/10,86/100,Rent or Buy,,Want To SeeSeen
44,,"Rome, Open City",,1945,N/A,8.1/10,86/100,+ Rent or Buy,,Want To SeeSeen
45,,Forrest Gump,,1994,13+,8.8/10,86/100,Rent or Buy,,Want To SeeSeen
46,,Breaking the Waves,,1996,18+,7.8/10,86/100,+ Rent or Buy,,Want To SeeSeen
47,,Back to the Future,,1985,7+,8.5/10,86/100,+ Rent or Buy,,Want To SeeSeen
48,,Alice in Wonderland,,1951,all,7.4/10,86/100,+ Rent or Buy,,Want To SeeSeen
49,,Avengers: Endgame,,2019,13+,8.4/10,86/100,+ Rent or Buy,,Want To SeeSeen
0,,Withnail & I,,1987,18+,7.6/10,86/100,+ Rent or Buy,,Want To SeeSeen
1,,The Thin Man,,1934,7+,8.0/10,86/100,+ Rent or Buy,,Want To SeeSeen
2,,The Prestige,,2006,13+,8.5/10,86/100,+ Rent or Buy,,Want To SeeSeen
3,,The Lord of the Rings: The Two Towers,,2002,13+,8.7/10,86/100,+ Rent or Buy,,Want To SeeSeen
4,,Soul,,2020,7+,8.1/10,86/100,+ Rent or Buy,,Want To SeeSeen
5,,Bo Burnham: Make Happy,,2016,18+,8.4/10,86/100,,,Want To SeeSeen
6,,I Am Mother,,2019,13+,6.7/10,86/100,,,Want To SeeSeen
7,,The Dark Knight Rises,,2012,13+,8.4/10,86/100,+ Rent or Buy,,Want To SeeSeen
8,,The Report,,2019,18+,7.2/10,86/100,,,Want To SeeSeen
9,,Thunder Road,,2018,18+,7.1/10,86/100,+ Rent or Buy,,Want To SeeSeen
10,,Avengers: Infinity War,,2018,13+,8.4/10,86/100,+ Rent or Buy,,Want To SeeSeen
11,,The King,,2019,18+,7.2/10,86/100,,,Want To SeeSeen
12,,Talvar,,2015,7+,8.2/10,86/100,+ Rent or Buy,,Want To SeeSeen
13,,The Return,,2003,N/A,8.0/10,86/100,+ Rent or Buy,,Want To SeeSeen
14,,Saving Private Ryan,,1998,18+,8.6/10,86/100,Rent or Buy,,Want To SeeSeen
15,,Honey Boy,,2019,18+,7.3/10,86/100,,,Want To SeeSeen
16,,A Shaun the Sheep Movie: Farmageddon,,2019,all,6.8/10,86/100,,,Want To SeeSeen
17,,Pieces of a Woman,,2020,18+,7.1/10,86/100,,,Want To SeeSeen
18,,Hard Boiled,,1992,18+,7.8/10,86/100,Rent or Buy,,Want To SeeSeen
19,,Crip Camp: A Disability Revolution,,2020,18+,7.7/10,86/100,,,Want To SeeSeen
20,,Tampopo,,1985,N/A,7.9/10,86/100,+ Rent or Buy,,Want To SeeSeen
21,,Deadpool,,2016,18+,8.0/10,86/100,+ Rent or Buy,,Want To SeeSeen
22,,The Departed,,2006,18+,8.5/10,86/100,+ Rent or Buy,,Want To SeeSeen
23,,Tell Me Who I Am,,2019,18+,7.6/10,85/100,,,Want To SeeSeen
24,,The Wolf of Wall Street,,2013,18+,8.2/10,85/100,Rent or Buy,,Want To SeeSeen
25,,Fantastic Planet,,1973,7+,7.8/10,85/100,+ Rent or Buy,,Want To SeeSeen
26,,Star Wars: A New Hope,,1977,7+,8.6/10,85/100,+ Rent or Buy,,Want To SeeSeen
27,,Star Wars: The Empire Strikes Back,,1980,7+,8.7/10,85/100,+ Rent or Buy,,Want To SeeSeen
28,,Joker,,2019,18+,8.4/10,85/100,+ Rent or Buy,,Want To SeeSeen
29,,A Prophet,,2009,18+,7.9/10,85/100,Rent or Buy,,Want To SeeSeen
30,,Three Colors: White,,1994,18+,7.6/10,85/100,+ Rent or Buy,,Want To SeeSeen
31,,Gangs of Wasseypur - Part 1,,2012,18+,8.2/10,85/100,+ Rent or Buy,,Want To SeeSeen
32,,GoodFellas,,1990,18+,8.7/10,85/100,+ Rent or Buy,,Want To SeeSeen
33,,Eyes Without a Face,,1960,N/A,7.7/10,85/100,+ Rent or Buy,,Want To SeeSeen
34,,Sholay,,1975,N/A,8.2/10,85/100,+ Rent or Buy,,Want To SeeSeen
35,,Winter on Fire: Ukraine's Fight for Freedom,,2015,16+,8.4/10,85/100,,,Want To SeeSeen
36,,Through a Glass Darkly,,1961,N/A,8.0/10,85/100,+ Rent or Buy,,Want To SeeSeen
37,,Parasite,,2019,18+,8.6/10,85/100,+ Rent or Buy,,Want To SeeSeen
38,,The Silence of the Lambs,,1991,18+,8.6/10,85/100,+ Rent or Buy,,Want To SeeSeen
39,,John Mulaney: Kid Gorgeous at Radio City,,2018,18+,8.0/10,85/100,,,Want To SeeSeen
40,,Run,,2020,13+,6.7/10,85/100,,,Want To SeeSeen
41,,Borat Subsequent Moviefilm,,2020,18+,6.7/10,85/100,,,Want To SeeSeen
42,,Cries and Whispers,,1972,18+,8.1/10,85/100,+ Rent or Buy,,Want To SeeSeen
43,,The Half of It,,2020,13+,6.9/10,85/100,,,Want To SeeSeen
44,,Man with a Movie Camera,,1929,N/A,8.4/10,85/100,+ Rent or Buy,,Want To SeeSeen
45,,The Boy Who Harnessed the Wind,,2019,7+,7.6/10,85/100,,,Want To SeeSeen
46,,The Many Adventures of Winnie the Pooh,,1977,all,7.6/10,85/100,+ Rent or Buy,,Want To SeeSeen
47,,A Hard Day's Night,,1964,all,7.6/10,85/100,+ Rent or Buy,,Want To SeeSeen
48,,I Lost My Body,,2019,18+,7.6/10,85/100,,,Want To SeeSeen
49,,The Godfather: Part II,,1974,18+,9.0/10,85/100,+ Rent or Buy,,Want To SeeSeen
0,,Dancer in the Dark,,2000,18+,8.0/10,85/100,+ Rent or Buy,,Want To SeeSeen
1,,The Fundamentals of Caring,,2016,18+,7.3/10,85/100,,,Want To SeeSeen
2,,Down by Law,,1986,18+,7.7/10,85/100,+ Rent or Buy,,Want To SeeSeen
3,,Black Friday,,2004,18+,8.5/10,85/100,,,Want To SeeSeen
4,,Au Revoir les Enfants,,1987,7+,8.0/10,85/100,+ Rent or Buy,,Want To SeeSeen
5,,The Name of the Rose,,1986,18+,7.7/10,85/100,Rent or Buy,,Want To SeeSeen
6,,Gerald's Game,,2017,18+,6.5/10,85/100,,,Want To SeeSeen
7,,Guardians of the Galaxy,,2014,13+,8.0/10,85/100,+ Rent or Buy,,Want To SeeSeen
8,,Sanjuro,,1962,N/A,8.1/10,85/100,+ Rent or Buy,,Want To SeeSeen
9,,Shutter Island,,2010,18+,8.2/10,85/100,+ Rent or Buy,,Want To SeeSeen
10,,Belle de Jour,,1967,18+,7.7/10,85/100,+ Rent or Buy,,Want To SeeSeen
11,,Conspiracy,,2001,18+,7.7/10,85/100,+ Rent or Buy,,Want To SeeSeen
12,,The Avengers,,2012,13+,8.0/10,85/100,+ Rent or Buy,,Want To SeeSeen
13,,Ivan's Childhood,,1962,18+,8.1/10,85/100,+ Rent or Buy,,Want To SeeSeen
14,,Still Walking,,2008,N/A,7.9/10,85/100,+ Rent or Buy,,Want To SeeSeen
15,,The Devil All the Time,,2020,18+,7.1/10,85/100,,,Want To SeeSeen
16,,A Woman Under the Influence,,1974,18+,8.2/10,85/100,+ Rent or Buy,,Want To SeeSeen
17,,The King of Kong: A Fistful of Quarters,,2007,13+,8.1/10,85/100,Rent or Buy,,Want To SeeSeen
18,,The Way Way Back,,2013,13+,7.4/10,85/100,Rent or Buy,,Want To SeeSeen
19,,The Producers,,1967,7+,7.6/10,84/100,+ Rent or Buy,,Want To SeeSeen
20,,Django Unchained,,2012,18+,8.4/10,84/100,+ Rent or Buy,,Want To SeeSeen
21,,WALL·E,,2008,all,8.4/10,84/100,+ Rent or Buy,,Want To SeeSeen
22,,Schindler's List,,1993,18+,8.9/10,84/100,Rent or Buy,,Want To SeeSeen
23,,Memento,,2000,18+,8.4/10,84/100,+ Rent or Buy,,Want To SeeSeen
24,,Extraction,,2020,18+,6.7/10,84/100,,,Want To SeeSeen
25,,Mickey's Christmas Carol,,1983,all,8.0/10,84/100,+ Rent or Buy,,Want To SeeSeen
26,,A Man Escaped,,1956,N/A,8.3/10,84/100,+ Rent or Buy,,Want To SeeSeen
27,,Dead Man,,1995,18+,7.6/10,84/100,+ Rent or Buy,,Want To SeeSeen
28,,Gladiator,,2000,18+,8.5/10,84/100,+ Rent or Buy,,Want To SeeSeen
29,,Paris Is Burning,,1991,18+,8.2/10,84/100,+ Rent or Buy,,Want To SeeSeen
30,,Kind Hearts and Coronets,,1949,13+,8.0/10,84/100,+ Rent or Buy,,Want To SeeSeen
31,,The Green Mile,,1999,18+,8.6/10,84/100,Rent or Buy,,Want To SeeSeen
32,,On Body and Soul,,2017,N/A,7.6/10,84/100,,,Want To SeeSeen
33,,In the House,,2012,18+,7.4/10,84/100,+ Rent or Buy,,Want To SeeSeen
34,,Arrival,,2016,13+,7.9/10,84/100,+ Rent or Buy,,Want To SeeSeen
35,,Sunrise: A Song of Two Humans,,1927,N/A,8.1/10,84/100,Rent or Buy,,Want To SeeSeen
36,,Alien,,1979,18+,8.4/10,84/100,+ Rent or Buy,,Want To SeeSeen
37,,Gone Girl,,2014,18+,8.1/10,84/100,+ Rent or Buy,,Want To SeeSeen
38,,American Splendor,,2003,18+,7.4/10,84/100,+ Rent or Buy,,Want To SeeSeen
39,,Fallen Angels,,1995,18+,7.7/10,84/100,+ Rent or Buy,,Want To SeeSeen
40,,The Lion King,,1994,all,8.5/10,84/100,+ Rent or Buy,,Want To SeeSeen
41,,Brief Encounter,,1945,13+,8.0/10,84/100,+ Rent or Buy,,Want To SeeSeen
42,,Batman Begins,,2005,13+,8.2/10,84/100,+ Rent or Buy,,Want To SeeSeen
43,,Umberto D.,,1952,N/A,8.2/10,84/100,+ Rent or Buy,,Want To SeeSeen
44,,Kiss the Ground,,2020,18+,8.3/10,84/100,,,Want To SeeSeen
45,,The Vanishing,,1988,N/A,7.7/10,84/100,+ Rent or Buy,,Want To SeeSeen
46,,Raazi,,2018,N/A,7.8/10,84/100,+ Rent or Buy,,Want To SeeSeen
47,,The Truman Show,,1998,7+,8.1/10,84/100,+ Rent or Buy,,Want To SeeSeen
48,,Yi Yi,,2000,N/A,8.2/10,84/100,,,Want To SeeSeen
49,,Night and Fog,,1956,N/A,8.6/10,84/100,+ Rent or Buy,,Want To SeeSeen
0,,Always Be My Maybe,,2019,13+,6.8/10,84/100,,,Want To SeeSeen
1,,Cool Runnings,,1993,7+,7.0/10,84/100,+ Rent or Buy,,Want To SeeSeen
2,,Mad Max: Fury Road,,2015,18+,8.1/10,84/100,+ Rent or Buy,,Want To SeeSeen
3,,Night on Earth,,1991,18+,7.7/10,84/100,+ Rent or Buy,,Want To SeeSeen
4,,Whiplash,,2014,18+,8.5/10,84/100,+ Rent or Buy,,Want To SeeSeen
5,,Nine Queens,,2000,18+,7.9/10,84/100,Rent or Buy,,Want To SeeSeen
6,,Scarface,,1983,18+,8.3/10,84/100,+ Rent or Buy,,Want To SeeSeen
7,,Children of Paradise,,1945,N/A,8.4/10,84/100,+ Rent or Buy,,Want To SeeSeen
8,,Manhunter,,1986,18+,7.2/10,84/100,Rent or Buy,,Want To SeeSeen
9,,The Visitor,,2007,13+,7.6/10,84/100,+ Rent or Buy,,Want To SeeSeen
10,,A Secret Love,,2020,18+,7.9/10,84/100,,,Want To SeeSeen
11,,Charlie and the Chocolate Factory,,2005,7+,6.6/10,84/100,+ Rent or Buy,,Want To SeeSeen
12,,One Night in Miami...,,2021,18+,7.1/10,84/100,,,Want To SeeSeen
13,,The Shining,,1980,18+,8.4/10,84/100,+ Rent or Buy,,Want To SeeSeen
14,,Amarcord,,1973,18+,7.9/10,84/100,+ Rent or Buy,,Want To SeeSeen
15,,The Umbrellas of Cherbourg,,1964,13+,7.8/10,84/100,+ Rent or Buy,,Want To SeeSeen
16,,Stranger Than Paradise,,1984,18+,7.5/10,84/100,+ Rent or Buy,,Want To SeeSeen
17,,Ali: Fear Eats the Soul,,1974,N/A,8.1/10,83/100,+ Rent or Buy,,Want To SeeSeen
18,,Inglourious Basterds,,2009,18+,8.3/10,83/100,+ Rent or Buy,,Want To SeeSeen
19,,Reservoir Dogs,,1992,18+,8.3/10,83/100,+ Rent or Buy,,Want To SeeSeen
20,,Léon: The Professional,,1994,18+,8.5/10,83/100,+ Rent or Buy,,Want To SeeSeen
21,,Woman in the Dunes,,1964,N/A,8.5/10,83/100,+ Rent or Buy,,Want To SeeSeen
22,,Catch Me If You Can,,2002,13+,8.1/10,83/100,+ Rent or Buy,,Want To SeeSeen
23,,Vivre Sa Vie,,1962,N/A,8.0/10,83/100,,,Want To SeeSeen
24,,The Guernsey Literary & Potato Peel Pie Society,,2018,16+,7.4/10,83/100,,,Want To SeeSeen
25,,Rangasthalam,,2018,13+,8.4/10,83/100,,,Want To SeeSeen
26,,Psych: The Movie,,2017,7+,7.5/10,83/100,,,Want To SeeSeen
27,,American Factory,,2019,13+,7.4/10,83/100,,,Want To SeeSeen
28,,The Exterminating Angel,,1962,N/A,8.1/10,83/100,+ Rent or Buy,,Want To SeeSeen
29,,Toy Story,,1995,all,8.3/10,83/100,+ Rent or Buy,,Want To SeeSeen
30,,Out of the Past,,1947,N/A,8.0/10,83/100,Rent or Buy,,Want To SeeSeen
31,,Star Wars: Return of the Jedi,,1983,7+,8.3/10,83/100,+ Rent or Buy,,Want To SeeSeen
32,,Late Spring,,1949,N/A,8.3/10,83/100,+ Rent or Buy,,Want To SeeSeen
33,,The Night Comes for Us,,2018,18+,7.0/10,83/100,,,Want To SeeSeen
34,,Terminator 2: Judgment Day,,1991,18+,8.5/10,83/100,Rent or Buy,,Want To SeeSeen
35,,Aliens,,1986,18+,8.3/10,83/100,+ Rent or Buy,,Want To SeeSeen
36,,The Pianist,,2002,18+,8.5/10,83/100,+ Rent or Buy,,Want To SeeSeen
37,,L'Avventura,,1960,N/A,7.9/10,83/100,+ Rent or Buy,,Want To SeeSeen
38,,Autumn Sonata,,1978,7+,8.2/10,83/100,+ Rent or Buy,,Want To SeeSeen
39,,Iron Man,,2008,13+,7.9/10,83/100,+ Rent or Buy,,Want To SeeSeen
40,,Central Station,,1998,18+,8.0/10,83/100,Rent or Buy,,Want To SeeSeen
41,,His House,,2020,16+,6.5/10,83/100,,,Want To SeeSeen
42,,One Flew Over the Cuckoo's Nest,,1975,18+,8.7/10,83/100,+ Rent or Buy,,Want To SeeSeen
43,,Coco,,2017,7+,8.4/10,83/100,+ Rent or Buy,,Want To SeeSeen
44,,Snatch,,2000,18+,8.3/10,83/100,+ Rent or Buy,,Want To SeeSeen
45,,Bill Burr: Paper Tiger,,2019,18+,8.2/10,83/100,,,Want To SeeSeen
46,,Finding Nemo,,2003,all,8.1/10,83/100,+ Rent or Buy,,Want To SeeSeen
47,,Robin Hood,,1973,all,7.6/10,83/100,+ Rent or Buy,,Want To SeeSeen
48,,Special 26,,2013,N/A,8.0/10,83/100,+ Rent or Buy,,Want To SeeSeen
49,,House,,1977,16+,7.4/10,83/100,+ Rent or Buy,,Want To SeeSeen
0,,Cléo from 5 to 7,,1962,N/A,7.9/10,83/100,,,Want To SeeSeen
1,,Hearts of Darkness: A Filmmaker's Apocalypse,,1991,18+,8.1/10,83/100,Rent or Buy,,Want To SeeSeen
2,,The Terminator,,1984,18+,8.0/10,83/100,+ Rent or Buy,,Want To SeeSeen
3,,"The Good, the Bad and the Ugly",,1966,18+,8.8/10,83/100,+ Rent or Buy,,Want To SeeSeen
4,,The Sixth Sense,,1999,13+,8.1/10,83/100,+ Rent or Buy,,Want To SeeSeen
5,,Die Hard,,1988,18+,8.2/10,83/100,+ Rent or Buy,,Want To SeeSeen
6,,Beautiful Boy,,2018,18+,7.3/10,83/100,,,Want To SeeSeen
7,,Bird Box,,2018,18+,6.6/10,83/100,,,Want To SeeSeen
8,,Eternal Sunshine of the Spotless Mind,,2004,18+,8.3/10,83/100,+ Rent or Buy,,Want To SeeSeen
9,,A Face in the Crowd,,1957,N/A,8.2/10,83/100,+ Rent or Buy,,Want To SeeSeen
10,,American History X,,1998,18+,8.5/10,83/100,+ Rent or Buy,,Want To SeeSeen
11,,Kabhi Khushi Kabhie Gham,,2001,all,7.4/10,83/100,+ Rent or Buy,,Want To SeeSeen
12,,"Monsters, Inc.",,2001,all,8.1/10,83/100,+ Rent or Buy,,Want To SeeSeen
13,,Ma Rainey's Black Bottom,,2020,18+,7.0/10,83/100,,,Want To SeeSeen
14,,No Direction Home: Bob Dylan,,2005,all,8.5/10,83/100,+ Rent or Buy,,Want To SeeSeen
15,,Oldboy,,2003,18+,8.4/10,83/100,+ Rent or Buy,,Want To SeeSeen
16,,Stree,,2018,7+,7.6/10,83/100,+ Rent or Buy,,Want To SeeSeen
17,,V for Vendetta,,2006,18+,8.1/10,83/100,+ Rent or Buy,,Want To SeeSeen
18,,The Imitation Game,,2014,13+,8.0/10,83/100,+ Rent or Buy,,Want To SeeSeen
19,,12 Angry Men,,1957,all,9.0/10,83/100,Rent or Buy,,Want To SeeSeen
20,,Harry Potter and the Philosopher's Stone,,2001,7+,7.6/10,83/100,+ Rent or Buy,,Want To SeeSeen
21,,The Way of the Dragon,,1972,18+,7.3/10,83/100,+ Rent or Buy,,Want To SeeSeen
22,,Sansho the Bailiff,,1954,N/A,8.4/10,83/100,+ Rent or Buy,,Want To SeeSeen
23,,Angels with Dirty Faces,,1938,N/A,7.9/10,83/100,Rent or Buy,,Want To SeeSeen
24,,Super Deluxe,,2019,18+,8.4/10,83/100,+ Rent or Buy,,Want To SeeSeen
25,,The Double Life of Véronique,,1991,18+,7.8/10,83/100,+ Rent or Buy,,Want To SeeSeen
26,,Avatar,,2009,13+,7.8/10,83/100,+ Rent or Buy,,Want To SeeSeen
27,,Following,,1999,18+,7.5/10,83/100,+ Rent or Buy,,Want To SeeSeen
28,,1917,,2019,18+,8.3/10,83/100,+ Rent or Buy,,Want To SeeSeen
29,,My Dinner with Andre,,1981,7+,7.8/10,83/100,+ Rent or Buy,,Want To SeeSeen
30,,The Grand Budapest Hotel,,2014,18+,8.1/10,83/100,Rent or Buy,,Want To SeeSeen
31,,The Thin Blue Line,,1988,N/A,8.0/10,83/100,+ Rent or Buy,,Want To SeeSeen
32,,The Distinguished Citizen,,2016,N/A,7.5/10,83/100,,,Want To SeeSeen
33,,What Happened to Monday,,2017,18+,6.9/10,83/100,,,Want To SeeSeen
34,,Pad Man,,2018,13+,7.9/10,83/100,,,Want To SeeSeen
35,,Inside Out,,2015,7+,8.1/10,83/100,+ Rent or Buy,,Want To SeeSeen
36,,Batman Beyond: Return of the Joker,,2000,13+,7.8/10,83/100,+ Rent or Buy,,Want To SeeSeen
37,,PlayTime,,1967,N/A,7.9/10,83/100,+ Rent or Buy,,Want To SeeSeen
38,,Limelight,,1952,all,8.1/10,83/100,+ Rent or Buy,,Want To SeeSeen
39,,Spider-Man: Into the Spider-Verse,,2018,7+,8.4/10,83/100,+ Rent or Buy,,Want To SeeSeen
40,,Hacksaw Ridge,,2016,18+,8.1/10,83/100,+ Rent or Buy,,Want To SeeSeen
41,,City of God,,2002,18+,8.6/10,83/100,+ Rent or Buy,,Want To SeeSeen
