,,Title,,Year,Rating,,,Available On,,
0,,Se7en,,1995,18+,8.6/10,100/100,+ Rent or Buy,,Want To SeeSeen
1,,Spirited Away,,2003,7+,8.6/10,99/100,+ Rent or Buy,,Want To SeeSeen
2,,Up,,2009,7+,8.2/10,99/100,+ Rent or Buy,,Want To SeeSeen
3,,The Intouchables,,2011,18+,8.5/10,98/100,+ Rent or Buy,,Want To SeeSeen
4,,3 Idiots,,2009,13+,8.4/10,97/100,+ Rent or Buy,,Want To SeeSeen
5,,Seven Samurai,,1954,N/A,8.6/10,97/100,+ Rent or Buy,,Want To SeeSeen
6,,Howl's Moving Castle,,2004,7+,8.2/10,95/100,+ Rent or Buy,,Want To SeeSeen
7,,My Neighbor Totoro,,1988,all,8.2/10,95/100,+Rent or Buy,,Want To SeeSeen
8,,The Irishman,,2019,18+,7.8/10,94/100,,,Want To SeeSeen
9,,Modern Times,,1936,all,8.5/10,94/100,+ Rent or Buy,,Want To SeeSeen
10,,Marriage Story,,2019,18+,7.9/10,93/100,,,Want To SeeSeen
11,,Dangal,,2016,7+,8.4/10,93/100,,,Want To SeeSeen
12,,Once Upon a Time in America,,1984,18+,8.4/10,93/100,Rent or Buy,,Want To SeeSeen
13,,City Lights,,1931,all,8.5/10,92/100,+ Rent or Buy,,Want To SeeSeen
14,,Dog Day Afternoon,,1975,18+,8.0/10,92/100,+ Rent or Buy,,Want To SeeSeen
15,,Das Boot,,1981,18+,8.3/10,92/100,Rent or Buy,,Want To SeeSeen
16,,La Haine,,1995,N/A,8.1/10,92/100,+ Rent or Buy,,Want To SeeSeen
17,,Rashomon,,1950,13+,8.2/10,92/100,+ Rent or Buy,,Want To SeeSeen
18,,The Seventh Seal,,1957,N/A,8.2/10,92/100,+ Rent or Buy,,Want To SeeSeen
19,,Castle in the Sky,,1986,7+,8.0/10,92/100,+ Rent or Buy,,Want To SeeSeen
20,,David Attenborough: A Life on Our Planet,,2020,7+,9.0/10,92/100,,,Want To SeeSeen
21,,X2,,2003,13+,7.4/10,91/100,+ Rent or Buy,,Want To SeeSeen
22,,Mary Poppins,,1964,all,7.8/10,91/100,+ Rent or Buy,,Want To SeeSeen
23,,Bicycle Thieves,,1948,N/A,8.3/10,91/100,+ Rent or Buy,,Want To SeeSeen
24,,Three Colors: Red,,1994,18+,8.1/10,91/100,+ Rent or Buy,,Want To SeeSeen
25,,The Maltese Falcon,,1941,N/A,8.0/10,91/100,+ Rent or Buy,,Want To SeeSeen
26,,13th,,2016,18+,8.2/10,91/100,,,Want To SeeSeen
27,,Diabolique,,1955,N/A,8.1/10,91/100,+ Rent or Buy,,Want To SeeSeen
28,,Persona,,1966,N/A,8.1/10,91/100,+ Rent or Buy,,Want To SeeSeen
29,,Solaris,,1972,7+,8.1/10,91/100,+ Rent or Buy,,Want To SeeSeen
30,,The Dark Knight,,2008,13+,9.0/10,90/100,+ Rent or Buy,,Want To SeeSeen
