,,Title,,Year,Rating,,,Available On,,
0,,The Playroom,,2013,N/A,5.3/10,44/100,+ Rent or Buy,,Want To SeeSeen
1,,J.R. “Bob” Dobbs and The Church of the SubGenius,,2019,N/A,6.8/10,44/100,+ Rent or Buy,,Want To SeeSeen
2,,The Prince & Me 4: The Elephant Adventure,,2010,7+,4.6/10,44/100,upfa+ Rent or Buy,,Want To SeeSeen
3,,Vampire Diary,,2007,18+,4.3/10,44/100,+ Rent or Buy,,Want To SeeSeen
4,,The Architect,,2016,N/A,4.8/10,44/100,+ Rent or Buy,,Want To SeeSeen
5,,Charlie Chan in the Secret Service,,1944,N/A,6.4/10,44/100,+ Rent or Buy,,Want To SeeSeen
6,,Hannah's Law,,2012,7+,5.2/10,44/100,+ Rent or Buy,,Want To SeeSeen
7,,Mothers' Instinct,,2018,N/A,6.4/10,44/100,Rent or Buy,,Want To SeeSeen
8,,Bob Saget: That Ain't Right,,2007,18+,6.1/10,44/100,+ Rent or Buy,,Want To SeeSeen
9,,Jig,,2011,7+,6.7/10,44/100,docu+ Rent or Buy,,Want To SeeSeen
10,,Boiled Angels: The Trial of Mike Diana,,2018,N/A,7.6/10,44/100,+ Rent or Buy,,Want To SeeSeen
11,,Life Is Ruff,,2005,7+,4.9/10,44/100,+ Rent or Buy,,Want To SeeSeen
12,,Tintin and the Temple of the Sun,,1969,all,6.8/10,44/100,Rent or Buy,,Want To SeeSeen
13,,Bright Leaves,,2004,N/A,7.1/10,44/100,,,Want To SeeSeen
14,,The Haunting of Sorority Row,,2007,13+,4.7/10,44/100,+ Rent or Buy,,Want To SeeSeen
15,,Morlang,,2001,N/A,6.3/10,44/100,,,Want To SeeSeen
16,,Beneath a Sea of Lights,,2020,N/A,5.7/10,44/100,,,Want To SeeSeen
17,,Dangerously Close,,1986,18+,5.6/10,44/100,,,Want To SeeSeen
18,,Bucktown,,1975,18+,6.2/10,44/100,Rent or Buy,,Want To SeeSeen
19,,The Hanoi Hilton,,1987,18+,6.1/10,44/100,Rent or Buy,,Want To SeeSeen
20,,Trade,,2019,N/A,5.5/10,44/100,+ Rent or Buy,,Want To SeeSeen
21,,Wanda Sykes: Tongue Untied,,2003,18+,6.8/10,44/100,,,Want To SeeSeen
22,,The Chronicles of Evil,,2015,N/A,6.8/10,44/100,Rent or Buy,,Want To SeeSeen
23,,"If Not Now, When",,2020,N/A,5.7/10,44/100,+ Rent or Buy,,Want To SeeSeen
24,,Assault in the Ring,,2009,13+,7.6/10,44/100,,,Want To SeeSeen
25,,It Takes Two,,1988,13+,5.5/10,44/100,+ Rent or Buy,,Want To SeeSeen
26,,Rage at Dawn,,1955,13+,6.0/10,44/100,+ Rent or Buy,,Want To SeeSeen
27,,Message from Space,,1978,7+,4.8/10,44/100,,,Want To SeeSeen
28,,The Last Fling,,1987,7+,6.6/10,44/100,+ Rent or Buy,,Want To SeeSeen
29,,Larry Gaye: Renegade Male Flight Attendant,,2015,18+,4.5/10,44/100,+ Rent or Buy,,Want To SeeSeen
30,,The Tragedy of Richard III,,1983,N/A,8.1/10,44/100,,,Want To SeeSeen
31,,Sun Belt Express,,2015,N/A,6.2/10,44/100,+ Rent or Buy,,Want To SeeSeen
32,,April Fool's Day,,2008,18+,3.7/10,44/100,Rent or Buy,,Want To SeeSeen
33,,Rosemont,,2015,16+,6.6/10,44/100,+ Rent or Buy,,Want To SeeSeen
34,,Eric Clapton's Crossroads Guitar Festival 2010,,2010,N/A,8.5/10,44/100,+ Rent or Buy,,Want To SeeSeen
35,,The Flood,,2018,7+,7.7/10,44/100,,,Want To SeeSeen
36,,Muscle Beach Party,,1964,all,5.1/10,44/100,+ Rent or Buy,,Want To SeeSeen
37,,The Hooligan Factory,,2014,13+,4.8/10,44/100,Rent or Buy,,Want To SeeSeen
38,,Hide,,2008,18+,5.3/10,44/100,+ Rent or Buy,,Want To SeeSeen
39,,All I Want for Christmas,,2007,13+,5.7/10,44/100,+ Rent or Buy,,Want To SeeSeen
40,,Deathsport,,1978,18+,4.1/10,44/100,+ Rent or Buy,,Want To SeeSeen
41,,Souls for Sale,,1923,N/A,7.0/10,44/100,Rent or Buy,,Want To SeeSeen
42,,A Thousand Junkies,,2017,18+,6.0/10,44/100,+ Rent or Buy,,Want To SeeSeen
43,,Slam,,2016,N/A,6.0/10,44/100,,,Want To SeeSeen
44,,Elvis Has Left the Building,,2004,13+,5.2/10,44/100,+ Rent or Buy,,Want To SeeSeen
