,,Title,,Year,Rating,,,Available On,,
5,,Mystery Science Theater 3000,TV,1988,7+,8.5/10,78/100,+Rent or Buy,76Free Episodes,TrackHave You Seen?AllSomeNoneCancel
6,,Animal Kingdom,TV,2016,18+,8.2/10,75/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
7,,Anthony Bourdain: No Reservations,TV,2005,7+,8.5/10,69/100,+Rent or Buy,24Free Episodes,TrackHave You Seen?AllSomeNoneCancel
8,,Haikyu!!,TV,2014,16+,8.7/10,78/100,+Rent or Buy,73Free Episodes,TrackHave You Seen?AllSomeNoneCancel
9,,The Umbrella Academy,TV,2019,16+,8.0/10,87/100,,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
10,,Curb Your Enthusiasm,TV,2000,18+,8.7/10,86/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
11,,Search Party,TV,2016,18+,7.7/10,75/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
12,,Law & Order: Criminal Intent,TV,2001,16+,7.4/10,69/100,+Rent or Buy,194Free Episodes,TrackHave You Seen?AllSomeNoneCancel
13,,Night Stalker: The Hunt For a Serial Killer,TV,2021,18+,7.5/10,72/100,,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
14,,The Twilight Zone,TV,1959,7+,9.0/10,85/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
15,,The Undoing,TV,2020,18+,7.4/10,79/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
16,,Stargate SG-1,TV,1997,13+,8.4/10,79/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
17,,FBI,TV,2018,16+,6.8/10,69/100,+Rent or Buy,5Free Episodes,TrackHave You Seen?AllSomeNoneCancel
18,,Upload,TV,2020,18+,8.0/10,82/100,,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
19,,Raised by Wolves,TV,2020,18+,7.6/10,80/100,,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
20,,Last Week Tonight with John Oliver,TV,2014,18+,8.9/10,87/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
21,,Survivor,TV,2000,7+,7.2/10,73/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
22,,Band of Brothers,TV,2001,18+,9.4/10,93/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
23,,Dallas,TV,1978,16+,7.0/10,67/100,+Rent or Buy,352Free Episodes,TrackHave You Seen?AllSomeNoneCancel
24,,Shetland,TV,2013,16+,8.1/10,70/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
25,,Harley Quinn,TV,2019,18+,8.5/10,80/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
26,,Avatar: The Last Airbender,TV,2005,7+,9.3/10,94/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
27,,Halt and Catch Fire,TV,2014,16+,8.4/10,82/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
28,,Doom Patrol,TV,2019,18+,7.9/10,81/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
29,,Leverage,TV,2008,16+,7.9/10,81/100,+Rent or Buy,77Free Episodes,TrackHave You Seen?AllSomeNoneCancel
30,,The Fall,TV,2013,18+,8.1/10,85/100,+Rent or Buy,19Free Episodes,TrackHave You Seen?AllSomeNoneCancel
31,,One Piece,TV,1999,7+,8.8/10,85/100,+Rent or Buy,783Free Episodes,TrackHave You Seen?AllSomeNoneCancel
32,,Pretty Little Liars,TV,2010,16+,7.4/10,83/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
33,,Buffy the Vampire Slayer,TV,1997,16+,8.2/10,86/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
34,,Star Wars: The Clone Wars,TV,2008,7+,8.3/10,85/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
35,,Law & Order: Organized Crime,TV,2021,16+,7.7/10,68/100,+Rent or Buy,6Free Episodes,TrackHave You Seen?AllSomeNoneCancel
36,,How I Met Your Mother,TV,2005,16+,8.3/10,90/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
37,,The Chi,TV,2018,18+,7.4/10,64/100,+Rent or Buy,5Free Episodes,TrackHave You Seen?AllSomeNoneCancel
38,,Chicago Fire,TV,2012,16+,8.0/10,78/100,+Rent or Buy,193Free Episodes,TrackHave You Seen?AllSomeNoneCancel
39,,Queen of Meth,TV,2021,18+,5.1/10,50/100,,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
40,,Adventure Time: Distant Lands,TV,2020,7+,8.9/10,71/100,,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
41,,Arrested Development,TV,2003,16+,8.7/10,88/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
42,,Community,TV,2009,7+,8.5/10,90/100,+Rent or Buy,6Free Episodes,TrackHave You Seen?AllSomeNoneCancel
43,,Suits,TV,2011,16+,8.4/10,89/100,+Rent or Buy,133Free Episodes,TrackHave You Seen?AllSomeNoneCancel
44,,Call My Agent!,TV,2015,16+,8.3/10,69/100,,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
45,,Spartacus,TV,2010,18+,8.5/10,80/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
46,,Scrubs,TV,2001,16+,8.3/10,86/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
47,,American Horror Story,TV,2011,18+,8.0/10,83/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
48,,The Conners,TV,2018,7+,5.4/10,68/100,+Rent or Buy,4Free Episodes,TrackHave You Seen?AllSomeNoneCancel
49,,Star Trek: The Next Generation,TV,1987,7+,8.6/10,86/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
0,,Night Court,TV,1984,7+,7.6/10,68/100,Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
1,,Ragnarok,TV,2020,18+,7.5/10,69/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
2,,Pride and Prejudice,TV,1995,all,8.8/10,83/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
3,,King of the Hill,TV,1997,7+,7.3/10,70/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
4,,Fast & Furious Spy Racers,TV,2019,7+,5.5/10,57/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
5,,Cheers,TV,1982,7+,7.9/10,76/100,+ Rent or Buy,5 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
6,,Everybody Loves Raymond,TV,1996,7+,7.1/10,71/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
7,,Batman: The Animated Series,TV,1992,7+,9.0/10,85/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
8,,The Marvelous Mrs. Maisel,TV,2017,18+,8.7/10,86/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
9,,Behind Her Eyes,TV,2021,18+,7.2/10,71/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
10,,Teenage Mutant Ninja Turtles,TV,2012,7+,7.8/10,66/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
11,,Veronica Mars,TV,2004,16+,8.3/10,82/100,Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
12,,Stranger Things,TV,2016,16+,8.7/10,96/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
13,,Get Shorty,TV,2017,18+,8.2/10,70/100,+ Rent or Buy,2 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
14,,The Mentalist,TV,2008,16+,8.1/10,79/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
15,,Fleabag,TV,2016,18+,8.7/10,88/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
16,,Alias,TV,2001,16+,7.6/10,81/100,+ Rent or Buy,105 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
17,,Cosmos,TV,2014,all,9.3/10,82/100,+ Rent or Buy,26 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
18,,Mom,TV,2013,16+,7.2/10,73/100,+ Rent or Buy,5 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
19,,A Million Little Things,TV,2018,16+,7.9/10,71/100,+ Rent or Buy,4 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
20,,Star Trek: Picard,TV,2020,16+,7.5/10,78/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
21,,Tell Me Your Secrets,TV,2021,18+,7.5/10,73/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
22,,The Good Place,TV,2016,16+,8.2/10,87/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
23,,Deadwood,TV,2004,18+,8.6/10,85/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
24,,DC's Legends of Tomorrow,TV,2016,16+,6.8/10,81/100,+ Rent or Buy,9 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
25,,Limitless,TV,2015,16+,7.7/10,72/100,+ Rent or Buy,22 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
26,,The Boss Baby: Back in Business,TV,2018,7+,6.5/10,58/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
27,,The Irregulars,TV,2021,18+,5.9/10,69/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
28,,The Prisoner,TV,1967,7+,8.5/10,77/100,+ Rent or Buy,17 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
29,,Evil,TV,2019,16+,7.7/10,76/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
30,,Impractical Jokers,TV,2011,16+,8.6/10,70/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
31,,Miracle Workers,TV,2019,7+,7.0/10,71/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
32,,The Witcher,TV,2019,18+,8.2/10,89/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
33,,Shark Tank,TV,2009,7+,7.6/10,69/100,+ Rent or Buy,4 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
34,,Motherland,TV,2017,18+,7.8/10,66/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
35,,Stargate Atlantis,TV,2004,7+,8.1/10,76/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
36,,L.A. Law,TV,1986,16+,7.0/10,64/100,,131 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
37,,Doctor Who,TV,1963,7+,8.4/10,79/100,+ Rent or Buy,55 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
38,,S.W.A.T.,TV,2017,16+,7.0/10,72/100,+ Rent or Buy,5 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
39,,The O.C.,TV,2003,16+,7.5/10,78/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
40,,Marvel's Agents of S.H.I.E.L.D.,TV,2013,16+,7.5/10,86/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
41,,Happy Days,TV,1974,7+,7.4/10,66/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
42,,24,TV,2001,16+,8.3/10,85/100,+ Rent or Buy,191 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
43,,Taken,TV,2017,18+,6.6/10,65/100,+ Rent or Buy,5 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
44,,The Hills: New Beginnings,TV,2019,16+,5.5/10,56/100,+ Rent or Buy,1 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
45,,The Neighborhood,TV,2018,7+,6.4/10,64/100,+ Rent or Buy,5 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
46,,The Monkees,TV,1966,all,7.4/10,62/100,,3 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
47,,Broad City,TV,2014,18+,8.4/10,79/100,+ Rent or Buy,1 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
48,,Naruto Shippūden,TV,2007,7+,8.6/10,83/100,+ Rent or Buy,336 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
49,,I Love Lucy,TV,1951,all,8.4/10,73/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
0,,M*A*S*H,TV,1972,7+,8.4/10,75/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
1,,Westworld,TV,2016,18+,8.6/10,90/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
2,,Couples Therapy,TV,2019,18+,7.8/10,69/100,+ Rent or Buy,2 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
3,,Taskmaster,TV,2015,16+,9.0/10,69/100,,10 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
4,,Married at First Sight,TV,2014,7+,6.2/10,63/100,+ Rent or Buy,169 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
5,,Your Honor,TV,2020,18+,7.6/10,77/100,,1 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
6,,Sailor Moon,TV,1992,16+,7.7/10,75/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
7,,Selena: The Series,TV,2020,7+,6.8/10,63/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
8,,Rebel,TV,2021,16+,6.8/10,65/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
9,,Are You The One?,TV,2014,16+,6.5/10,62/100,+ Rent or Buy,2 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
10,,Gossip Girl,TV,2007,16+,7.4/10,80/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
11,,Warrior,TV,2019,18+,8.4/10,83/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
12,,Kung Fu,TV,2021,16+,4.9/10,65/100,+ Rent or Buy,6 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
13,,The Leftovers,TV,2014,18+,8.3/10,86/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
14,,ALF,TV,1986,all,7.4/10,70/100,+ Rent or Buy,104 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
15,,Last Tango in Halifax,TV,2012,16+,8.3/10,72/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
16,,Lost in Space,TV,2018,7+,7.3/10,80/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
17,,Hogan's Heroes,TV,1965,7+,7.9/10,66/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
18,,Dragon Ball Z Kai,TV,2009,16+,8.2/10,70/100,+ Rent or Buy,9 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
19,,Alfred Hitchcock Presents,TV,1955,16+,8.5/10,71/100,best+ Rent or Buy,254 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
20,,When Calls the Heart,TV,2014,all,8.1/10,69/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
21,,9-1-1: Lone Star,TV,2020,16+,6.7/10,69/100,+ Rent or Buy,4 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
22,,Clarice,TV,2021,16+,6.4/10,70/100,+ Rent or Buy,9 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
23,,Escape to the Chateau,TV,2016,7+,8.7/10,66/100,,30 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
24,,All in the Family,TV,1971,all,8.3/10,70/100,+ Rent or Buy,10 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
25,,The Challenge: All Stars,TV,2021,18+,7.8/10,58/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
26,,The Great North,TV,2021,16+,6.5/10,65/100,+ Rent or Buy,5 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
27,,Legion,TV,2017,16+,8.2/10,84/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
28,,The Purge,TV,2018,18+,6.5/10,68/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
29,,White Collar,TV,2009,7+,8.2/10,85/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
30,,Two and a Half Men,TV,2003,16+,7.0/10,78/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
31,,Sasquatch,TV,2021,18+,6.3/10,64/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
32,,The Sinner,TV,2017,16+,7.9/10,83/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
33,,The Good Wife,TV,2009,16+,8.3/10,83/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
34,,The Brady Bunch,TV,1969,all,6.7/10,63/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
35,,Ancient Aliens,TV,2010,7+,7.2/10,68/100,+ Rent or Buy,92 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
36,,The Upshaws,TV,2021,16+,6.8/10,62/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
37,,The Red Line,TV,2019,16+,5.5/10,58/100,Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
38,,Family Ties,TV,1982,all,7.2/10,64/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
39,,Doc Martin,TV,2004,7+,8.3/10,70/100,+ Rent or Buy,47 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
40,,The A-Team,TV,1983,7+,7.5/10,69/100,Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
41,,Skins,TV,2007,18+,8.2/10,74/100,Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
42,,Flight of the Conchords,TV,2007,16+,8.5/10,80/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
43,,Mindhunter,TV,2017,18+,8.6/10,91/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
44,,Luther,TV,2010,18+,8.5/10,86/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
45,,Shameless,TV,2004,18+,8.0/10,71/100,+ Rent or Buy,153 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
46,,Will & Grace,TV,1998,16+,7.2/10,71/100,+ Rent or Buy,10 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
47,,Peep Show,TV,2003,18+,8.6/10,82/100,+ Rent or Buy,54 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
48,,Walker,TV,2021,16+,5.9/10,65/100,+ Rent or Buy,13 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
49,,Neon Genesis Evangelion,TV,1995,16+,8.5/10,81/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
0,,The Alienist,TV,2018,18+,7.7/10,79/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
1,,That Damn Michael Che,TV,2021,N/A,7.5/10,62/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
2,,Mob Psycho 100,TV,2016,16+,8.5/10,73/100,+ Rent or Buy,26 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
3,,High School Musical: The Musical: The Series,TV,2019,7+,7.4/10,68/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
4,,The Challenge,TV,1998,16+,7.6/10,70/100,+ Rent or Buy,3 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
5,,60 Minutes,TV,1968,7+,7.4/10,64/100,cbs_,10 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
6,,Bar Rescue,TV,2011,7+,7.6/10,65/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
7,,iCarly,TV,2007,all,6.7/10,69/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
8,,Constantine,TV,2014,16+,7.5/10,77/100,+ Rent or Buy,1 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
9,,Terminator: The Sarah Connor Chronicles,TV,2008,7+,7.7/10,78/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
10,,The Morning Show,TV,2019,18+,8.4/10,82/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
11,,The Seven Deadly Sins,TV,2014,16+,8.0/10,73/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
12,,Chicago Med,TV,2015,16+,7.6/10,71/100,+ Rent or Buy,118 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
13,,Girl from Nowhere,TV,2018,18+,7.7/10,68/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
14,,Banshee,TV,2013,18+,8.4/10,85/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
15,,Pushing Daisies,TV,2007,7+,8.3/10,82/100,+ Rent or Buy,22 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
16,,Naruto,TV,2002,7+,8.3/10,82/100,+ Rent or Buy,220 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
17,,3rd Rock from the Sun,TV,1996,7+,7.7/10,72/100,+ Rent or Buy,139 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
18,,Heroes,TV,2006,16+,7.5/10,80/100,+ Rent or Buy,79 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
19,,The Real Ghostbusters,TV,1986,7+,7.6/10,62/100,+ Rent or Buy,64 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
20,,Battlestar Galactica,TV,1978,7+,7.2/10,71/100,+ Rent or Buy,21 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
21,,The War of the Worlds,TV,2019,N/A,5.1/10,60/100,,3 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
22,,Van Helsing,TV,2016,16+,6.2/10,68/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
23,,Bones,TV,2005,16+,7.8/10,82/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
24,,Archer,TV,2009,18+,8.6/10,86/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
25,,The Middle,TV,2009,7+,7.6/10,73/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
26,,Them,TV,2021,N/A,7.2/10,76/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
27,,Inside No. 9,TV,2014,18+,8.5/10,80/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
28,,SK8 the Infinity,TV,2021,16+,8.2/10,65/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
29,,Dark,TV,2017,16+,8.8/10,93/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
30,,The Sons of Sam: A Descent Into Darkness,TV,2021,18+,7.0/10,68/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
31,,Hoarders,TV,2009,7+,6.4/10,60/100,+ Rent or Buy,43 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
32,,Person of Interest,TV,2011,16+,8.4/10,80/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
33,,Money Heist,TV,2017,18+,8.3/10,90/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
34,,black-ish,TV,2014,16+,7.1/10,75/100,+ Rent or Buy,4 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
35,,Solar Opposites,TV,2020,18+,8.0/10,72/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
36,,Once Upon a Time,TV,2011,7+,7.7/10,83/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
37,,Mayans M.C.,TV,2018,18+,7.6/10,77/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
38,,Fall River,TV,2021,N/A,8.4/10,56/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
39,,A.P. Bio,TV,2018,16+,7.3/10,72/100,+ Rent or Buy,27 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
40,,Normal People,TV,2020,16+,8.5/10,83/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
41,,Elite,TV,2018,18+,7.5/10,82/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
42,,Miraculous: Tales of Ladybug & Cat Noir,TV,2015,7+,7.7/10,73/100,+ Rent or Buy,2 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
43,,The Affair,TV,2014,18+,7.9/10,79/100,+ Rent or Buy,1 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
44,,CSI: Crime Scene Investigation,TV,2000,16+,7.6/10,74/100,+ Rent or Buy,1 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
45,,"Scooby-Doo, Where Are You?",TV,1969,all,7.9/10,70/100,+ Rent or Buy,21 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
46,,The Ray Bradbury Theater,TV,1985,N/A,7.5/10,55/100,,62 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
47,,Bridgerton,TV,2020,N/A,7.3/10,79/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
48,,The Killing,TV,2011,18+,8.2/10,83/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
49,,Keeping Up with the Kardashians,TV,2007,16+,2.8/10,58/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
0,,Chad,TV,2021,18+,2.6/10,51/100,Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
1,,The King of Queens,TV,1998,7+,7.3/10,71/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
2,,Nancy Drew,TV,2019,16+,6.3/10,68/100,+ Rent or Buy,34 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
3,,WWE Raw,TV,1993,7+,7.8/10,69/100,+ Rent or Buy,3 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
4,,The Bridge,TV,2011,18+,8.6/10,77/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
5,,Top Gear,TV,2002,7+,8.6/10,77/100,moto+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
6,,Counterpart,TV,2017,18+,8.1/10,82/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
7,,How to Get Away with Murder,TV,2014,16+,8.1/10,84/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
8,,The Golden Girls,TV,1985,7+,7.9/10,72/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
